scope,feature,fold_count,mean_standardized_coefficient,sign,mean_absolute_magnitude,positive_fold_fraction,negative_fold_fraction
aggregate,log_return_lag_31,17,0.00013158094907708438,positive,0.00013158094907708438,1.0,0.0
aggregate,volatility_lag_31,17,-0.0002610119983886243,negative,0.0003016548540053698,0.058823529411764705,0.9411764705882353
aggregate,sma20_ratio_lag_31,17,-0.00017157517106439345,negative,0.0004359734841149917,0.6470588235294118,0.35294117647058826
aggregate,mom24_lag_31,17,9.872929370743254e-05,positive,9.872929370743254e-05,1.0,0.0
aggregate,xz_mom24_lag_31,17,-0.00038593750927983937,negative,0.00038593750927983937,0.0,1.0
aggregate,xr_mom24_lag_31,17,0.0003453666244190424,positive,0.0003453666244190424,1.0,0.0
aggregate,carry_annual_lag_31,17,0.0019211797640115214,positive,0.002006064363503927,0.6470588235294118,0.35294117647058826
aggregate,xz_carry_lag_31,17,-0.002725388042786139,negative,0.002725388042786139,0.0,1.0
aggregate,log_return_lag_30,17,0.00020635264421211693,positive,0.00036891691661737917,0.9411764705882353,0.058823529411764705
aggregate,volatility_lag_30,17,-2.9964666900120504e-06,negative,0.00016821376452077244,0.8235294117647058,0.17647058823529413
aggregate,sma20_ratio_lag_30,17,0.0010360144346519922,positive,0.0011776218258282639,0.8235294117647058,0.17647058823529413
aggregate,mom24_lag_30,17,4.8713218301088834e-05,positive,7.271479052436656e-05,0.8823529411764706,0.11764705882352941
aggregate,xz_mom24_lag_30,17,0.00027045163218685674,positive,0.00027045163218685674,1.0,0.0
aggregate,xr_mom24_lag_30,17,-0.00026330499257213517,negative,0.00026330499257213517,0.0,1.0
aggregate,carry_annual_lag_30,17,-0.005157329733981172,negative,0.005157329733981172,0.0,1.0
aggregate,xz_carry_lag_30,17,0.002640634105480508,positive,0.0026449821368221427,0.8823529411764706,0.11764705882352941
aggregate,log_return_lag_29,17,0.0008133737879618771,positive,0.0010025212634972092,0.9411764705882353,0.058823529411764705
aggregate,volatility_lag_29,17,-2.6525418388372177e-05,negative,0.00026314914374213734,0.4117647058823529,0.5882352941176471
