fold,era,policy,steps,cumulative_log_return,gross_cumulative_log_return,annualized_net_return,annualized_gross_return,final_equity_ratio,sharpe_annualized,max_drawdown,total_cost_ratio,mean_gross_leverage,mean_weight_turnover,total_weight_turnover,terminated_by_margin_call,eval_start,eval_end,mean_rank_churn,mean_membership_turnover,membership_differs_from_rule_fraction,cost_drag_log_return,cost_drag_fraction_of_gross_log_return
2009,2009-2018,supervised,195,-0.005761968315223354,0.04841938979601036,-0.007678201497975515,0.06691467424157814,0.9942545999869246,-0.056041851556114,0.0921737025277165,0.055456436540502835,3.200078959354899,5.111794947966551,996.8000148534775,False,2009-04-03T00:00:00+01:00,2010-01-01T00:00:00+00:00,0.38258877434135163,0.8002577319587629,0.9948717948717949,0.054181358111233716,1.1190012583698055
2009,2009-2018,reversal,195,0.061865006261101294,0.0886209088058367,0.08627814646118886,0.12586191793613544,1.0638187261670926,0.47317227483134044,0.14944357596529112,0.028141991432343055,3.198034085370613,1.2225641207817273,238.40000355243683,False,2009-04-03T00:00:00+01:00,2010-01-01T00:00:00+00:00,,,,0.026755902544735408,0.301914107012331
2009,2009-2018,ppo,195,-0.1973191858009945,-0.17591970597022652,-0.23199223685295273,-0.20968935079039716,0.8209285627494208,-0.4997366472556021,0.3325743923328528,0.0202538418870474,2.7163361694392023,0.9076959756125507,177.00071524444738,False,2009-04-03T00:00:00+01:00,2010-01-01T00:00:00+00:00,,,,0.02139947983076798,-0.12164344928128591
2010,2009-2018,supervised,197,0.043007271408835965,0.09778718959188051,0.05877525730420904,0.1386683795964197,1.0439454857774446,0.3853696706782368,0.07380983453416468,0.05660025050432265,3.200710630868515,5.124873172813261,1009.6000150442123,False,2010-03-31T00:00:00+01:00,2010-12-31T00:00:00+00:00,0.38222789115646255,0.8022959183673469,0.9898477157360406,0.05477991818304455,0.5601952404161643
2010,2009-2018,reversal,197,-0.04163556515528391,-0.015011246261300413,-0.05379045032027897,-0.01973726268815224,0.9592192898148759,-0.31775187254137227,0.09184738399255665,0.026028106195207512,3.202975129873879,1.2020304747644415,236.80000352859497,False,2010-03-31T00:00:00+01:00,2010-12-31T00:00:00+00:00,,,,0.0266243188939835,-1.7736248163899655
2010,2009-2018,ppo,197,0.09714481591213049,0.11370510630634387,0.13769744158011207,0.16299453714879142,1.1020199520905294,0.4127922637041729,0.2158002782631231,0.017556109858400493,1.842244380841417,0.8673535424317435,170.86864785905345,False,2010-03-31T00:00:00+01:00,2010-12-31T00:00:00+00:00,,,,0.016560290394213376,0.1456424511806594
2011,2009-2018,supervised,195,0.02451951051315995,0.07888897742332246,0.03322011819889073,0.11087203164001126,1.0248225857266897,0.18499570599006215,0.10304343084472178,0.05559586334730079,3.20227434551256,5.021538536365216,979.200014591217,False,2011-03-31T00:00:00+01:00,2011-12-30T00:00:00+00:00,0.3838774341351661,0.7860824742268041,0.9846153846153847,0.054369466910162506,0.6891896521666525
2011,2009-2018,reversal,195,0.1847301886696449,0.21246890823728087,0.2791723840929927,0.32734963028365127,1.202893841951759,1.373290799221541,0.10478364593029366,0.02979075354088105,3.198567964320261,1.3538461740200336,264.00000393390656,False,2011-03-31T00:00:00+01:00,2011-12-30T00:00:00+00:00,,,,0.02773871956763596,0.1305542528446465
2011,2009-2018,ppo,195,0.26415218428882037,0.2793002121353646,0.42200668948742576,0.4510083504385349,1.3023263748338467,1.7851837389084693,0.0927342947593528,0.0174164629554714,1.592081389206315,0.9165308669285598,178.72351905106916,False,2011-03-31T00:00:00+01:00,2011-12-30T00:00:00+00:00,,,,0.015148027846544232,0.05423564748029137
2012,2009-2018,supervised,197,-0.04564547757905064,0.009759779741899947,-0.058199937026934705,0.012903495286160261,0.955380606004123,-0.6225869325386061,0.08901058070990286,0.05569110586367639,3.199871552465644,5.1736041380064135,1019.2000151872635,False,2012-03-29T00:00:00+01:00,2013-01-01T00:00:00+00:00,0.39441609977324266,0.8099489795918368,0.9949238578680203,0.055405257320950585,5.676896281079882
2012,2009-2018,reversal,197,-0.08926887036505793,-0.06261782910880898,-0.1106533907837594,-0.07896573413956579,0.9145996317758248,-1.1713641489348785,0.13336971817357102,0.025044799050942354,3.200585973246833,1.2020304747644415,236.80000352859497,False,2012-03-29T00:00:00+01:00,2013-01-01T00:00:00+00:00,,,,0.026651041256248953,-0.4256142641090016
2012,2009-2018,ppo,197,0.27878376652560366,0.302018030781406,0.4422795185901192,0.4869790809226216,1.321521555774682,1.2528188307181762,0.1556201963131758,0.02648520917152157,2.578675699701762,1.1860410377733195,233.65008444134395,False,2012-03-29T00:00:00+01:00,2013-01-01T00:00:00+00:00,,,,0.023234264255802328,0.07693005677736764
2013,2009-2018,supervised,196,0.014115633228711323,0.07075837224179118,0.01892208307640017,0.09852211678328023,1.0142157291975693,0.15368090453170924,0.1116250316002263,0.05743845610396482,3.198238580427362,5.387755182324623,1056.0000157356262,False,2013-04-01T00:00:00+01:00,2014-01-01T00:00:00+00:00,0.4115384615384615,0.8435897435897436,0.9846938775510204,0.05664273901307986,0.8005093562571473
2013,2009-2018,reversal,196,0.09218479148102326,0.12007239220686598,0.13022826362394735,0.1728700843723876,1.096567439680459,0.9018918337454765,0.07831272469565465,0.0303264053019441,3.1973339108554955,1.3551020610089204,265.6000039577484,False,2013-04-01T00:00:00+01:00,2014-01-01T00:00:00+00:00,,,,0.027887600725842718,0.23225655967440656
2013,2009-2018,ppo,196,0.47776682532893017,0.5017674662177513,0.8860130048605047,0.9470929500000353,1.6124694525106893,1.9262270464683644,0.16753637313331216,0.03293004635902615,2.78440140244007,1.166992526972253,228.73053528656158,False,2013-04-01T00:00:00+01:00,2014-01-01T00:00:00+00:00,,,,0.02400064088882109,0.047832198188803195
2014,2009-2018,supervised,198,0.0503782414314929,0.10889072072569392,0.06893087659708826,0.15497755905708355,1.0516688058707668,0.7066118205279569,0.08815397111605561,0.056942353276440046,3.198451681850397,5.4303031112208515,1075.2000160217285,False,2014-03-31T00:00:00+01:00,2015-01-01T00:00:00+00:00,0.41215454032712917,0.850253807106599,0.9949494949494949,0.05851247929420102,0.5373504638802008
2014,2009-2018,reversal,198,-0.038443426690928845,-0.01210090409613701,-0.04959510663194251,-0.015884047523595027,0.9622861429113068,-0.45084222533037477,0.11866237798190093,0.026776208178431377,3.2000367486127286,1.171717189177118,232.0000034570694,False,2014-03-31T00:00:00+01:00,2015-01-01T00:00:00+00:00,,,,0.026342522594791834,-2.1769053275284773
2014,2009-2018,ppo,198,-0.033813461000989344,-0.009947013773005074,-0.04375483571666398,-0.013075353377718951,0.9667518247362965,-0.24576148161859135,0.17017008474293982,0.024111002934166056,2.7671337001484413,1.1423808001707687,226.19139843381222,False,2014-03-31T00:00:00+01:00,2015-01-01T00:00:00+00:00,,,,0.02386644722798427,-2.3993580156443293
2015,2009-2018,supervised,198,-0.061276251439326634,-0.005344668664646564,-0.07787905390870568,-0.00704695715627255,0.940563371897959,-0.5292843438419472,0.14199493452605705,0.0527973727904,3.202575686501772,5.115151591373213,1012.8000150918961,False,2015-03-31T00:00:00+01:00,2016-01-01T00:00:00+00:00,0.3956570783981952,0.800761421319797,0.9949494949494949,0.05593158277468007,-10.464929873885598
2015,2009-2018,reversal,198,0.050957834477715375,0.07858049895612805,0.0697509541279984,0.10957309691881678,1.0522785224742626,0.4179665567483229,0.08286343269635177,0.029483812917640594,3.200173373201918,1.3333333532015483,264.00000393390656,False,2015-03-31T00:00:00+01:00,2016-01-01T00:00:00+00:00,,,,0.027622664478412676,0.35152060428929793
