fold,era,predicted_rank,annualized_gross_log_contribution,sum_price_simple_contribution,sum_carry_simple_contribution
2009,2009-2018,1,0.17509194545402237,0.1283418603850017,0.004257770408148445
2009,2009-2018,2,-0.11400500326044101,-0.08817614247096127,0.00450894092778388
2009,2009-2018,3,0.0,0.0,0.0
2009,2009-2018,4,0.0,0.0,0.0
2009,2009-2018,5,0.0,0.0,0.0
2009,2009-2018,6,0.0,0.0,0.0
2009,2009-2018,7,0.0,0.0,0.0
2009,2009-2018,8,0.016569642690804305,0.018651014639551006,-0.004328954846492792
2009,2009-2018,9,-0.012885583670920095,-0.0030553489296834234,-0.00473720488142
2010,2009-2018,1,-0.06868835092760081,-0.055119213606717794,0.005519688369250091
2010,2009-2018,2,-0.013808534601265065,-0.013661201970866461,0.0059625090937472595
2010,2009-2018,3,0.0,0.0,0.0
2010,2009-2018,4,0.0,0.0,0.0
2010,2009-2018,5,0.0,0.0,0.0
2010,2009-2018,6,0.0,0.0,0.0
2010,2009-2018,7,0.0,0.0,0.0
2010,2009-2018,8,0.04168151703299945,0.04023020545989123,-0.007092395024886321
2010,2009-2018,9,0.17067486008235677,0.13932212459969515,-0.009149047337869346
2011,2009-2018,1,-0.08092252992373852,-0.06539096629008014,0.007036032580615815
2011,2009-2018,2,-0.1683945059179704,-0.12962850996714462,0.006313486304791428
2011,2009-2018,3,0.0,0.0,0.0
2011,2009-2018,4,0.0,0.0,0.0
2011,2009-2018,5,0.0,0.0,0.0
2011,2009-2018,6,0.0,0.0,0.0
2011,2009-2018,7,0.0,0.0,0.0
2011,2009-2018,8,0.23627191053303287,0.19122734018134893,-0.010103278390845405
2011,2009-2018,9,0.11819044628979705,0.10019090909112331,-0.009052889270201795
2012,2009-2018,1,0.06240073930052644,0.04135524029446527,0.007091214649624738
2012,2009-2018,2,0.08180320478846222,0.05789280769893811,0.005243367601118763
2012,2009-2018,3,0.0,0.0,0.0
2012,2009-2018,4,0.0,0.0,0.0
2012,2009-2018,5,0.0,0.0,0.0
2012,2009-2018,6,0.0,0.0,0.0
2012,2009-2018,7,0.0,0.0,0.0
2012,2009-2018,8,-0.09101940753243765,-0.062204174621462605,-0.00630549601300052
2012,2009-2018,9,-0.04036358208067587,-0.021361553474947205,-0.008439572096846062
2013,2009-2018,1,0.1695538844843647,0.12249497838833538,0.006468598501634007
2013,2009-2018,2,0.10296698109245801,0.07311042934186943,0.005859761807596605
2013,2009-2018,3,0.0,0.0,0.0
2013,2009-2018,4,0.0,0.0,0.0
2013,2009-2018,5,0.0,0.0,0.0
2013,2009-2018,6,0.0,0.0,0.0
2013,2009-2018,7,0.0,0.0,0.0
2013,2009-2018,8,-0.10709913644560214,-0.07519782846586724,-0.004463488551345061
2013,2009-2018,9,-0.07145598286981204,-0.04671725114909326,-0.0052011039765999635
2014,2009-2018,1,0.08033307273453609,0.05623327392805054,0.005719902085664857
2014,2009-2018,2,0.11187980421012497,0.08119986965707864,0.004649228497312102
2014,2009-2018,3,0.0,0.0,0.0
2014,2009-2018,4,0.0,0.0,0.0
2014,2009-2018,5,0.0,0.0,0.0
2014,2009-2018,6,0.0,0.0,0.0
2014,2009-2018,7,0.0,0.0,0.0
2014,2009-2018,8,-0.01650228518195248,-0.006209059441757347,-0.005938287831468235
2014,2009-2018,9,-0.031629677365511914,-0.015733283549031005,-0.007651722854847178
2015,2009-2018,1,-0.008603069687562487,-0.007526980385850365,0.0028683366671774036
2015,2009-2018,2,-0.17373588525638792,-0.13429172627753966,0.005064409355941939
2015,2009-2018,3,0.0,0.0,0.0
2015,2009-2018,4,0.0,0.0,0.0
2015,2009-2018,5,0.0,0.0,0.0
2015,2009-2018,6,0.0,0.0,0.0
2015,2009-2018,7,0.0,0.0,0.0
2015,2009-2018,8,0.025545831938591987,0.02575953463512017,-0.0040574231766941195
2015,2009-2018,9,0.14972121877678451,0.11981753174642051,-0.004172311358431955
2016,2009-2018,1,-0.04274677457464736,-0.03484878058521957,0.003425685387184535
2016,2009-2018,2,-0.09918173009729955,-0.07663394378301441,0.002687178919574573
2016,2009-2018,3,0.0,0.0,0.0
2016,2009-2018,4,0.0,0.0,0.0
2016,2009-2018,5,0.0,0.0,0.0
2016,2009-2018,6,0.0,0.0,0.0
2016,2009-2018,7,0.0,0.0,0.0
2016,2009-2018,8,0.07634074618671502,0.06212034825500555,-0.0028318269688197488
2016,2009-2018,9,-0.05401484647992104,-0.033403410159526484,-0.005193914901318462
2017,2009-2018,1,0.06956084086695537,0.05054551991353433,0.0033536307105925004
2017,2009-2018,2,0.09345854075906071,0.07013973688313652,0.0018330965554456795
2017,2009-2018,3,0.0,0.0,0.0
2017,2009-2018,4,0.0,0.0,0.0
2017,2009-2018,5,0.0,0.0,0.0
2017,2009-2018,6,0.0,0.0,0.0
2017,2009-2018,7,0.0,0.0,0.0
2017,2009-2018,8,-0.0037389046846305887,0.0009550874091290916,-0.0031416001994711467
2017,2009-2018,9,-0.16742311698478402,-0.12212977961877104,-0.004059569946742592
2018,2009-2018,1,-0.023883759566954363,-0.021519609572585217,0.004112362961460854
2018,2009-2018,2,-0.06011591474135455,-0.04957317512616333,0.004341200607274979
2018,2009-2018,3,0.0,0.0,0.0
2018,2009-2018,4,0.0,0.0,0.0
2018,2009-2018,5,0.0,0.0,0.0
2018,2009-2018,6,0.0,0.0,0.0
2018,2009-2018,7,0.0,0.0,0.0
2018,2009-2018,8,0.02581412888781449,0.025133217860704188,-0.004786336029645793
2018,2009-2018,9,0.07176500982656776,0.06128080930417685,-0.005947232775647808
2019,2019-2025,1,-0.06589581189935671,-0.05450806073079961,0.004882202597764968
2019,2019-2025,2,-0.04328466409288329,-0.03677511692549164,0.004269921471057987
2019,2019-2025,3,0.0,0.0,0.0
2019,2019-2025,4,0.0,0.0,0.0
2019,2019-2025,5,0.0,0.0,0.0
2019,2019-2025,6,0.0,0.0,0.0
2019,2019-2025,7,0.0,0.0,0.0
2019,2019-2025,8,0.002145064486494697,0.0073077972672563815,-0.005097907807537585
2019,2019-2025,9,0.015817759119524582,0.018397965912584028,-0.005851074183132835
2020,2019-2025,1,0.11459002203724952,0.08679846720804485,0.0013481638316705702
2020,2019-2025,2,0.062150506622160526,0.047706883064347956,0.0005667444069878676
2020,2019-2025,3,0.0,0.0,0.0
2020,2019-2025,4,0.0,0.0,0.0
2020,2019-2025,5,0.0,0.0,0.0
2020,2019-2025,6,0.0,0.0,0.0
2020,2019-2025,7,0.0,0.0,0.0
2020,2019-2025,8,-0.10650129386928314,-0.07802756113936919,-0.0009109000719425167
2020,2019-2025,9,-0.0024477229398366324,0.00222515830048368,-0.0021298051097972445
2021,2019-2025,1,0.011156273094816772,0.008857732338989958,0.0006815464667297096
2021,2019-2025,2,-0.03626473952518577,-0.026591112658551342,6.508484869151006e-05
2021,2019-2025,3,0.0,0.0,0.0
2021,2019-2025,4,0.0,0.0,0.0
2021,2019-2025,5,0.0,0.0,0.0
2021,2019-2025,6,0.0,0.0,0.0
2021,2019-2025,7,0.0,0.0,0.0
2021,2019-2025,8,-0.012753744555739448,-0.00904631948234943,-0.00018714228665919603
2021,2019-2025,9,0.008580599289711539,0.007967727589405782,-0.0009963972719310857
2022,2019-2025,1,0.07895069554113628,0.054100266097671566,0.006915901741241641
2022,2019-2025,2,-0.015783510102441174,-0.01795995469664713,0.007989725159757873
2022,2019-2025,3,0.0,0.0,0.0
2022,2019-2025,4,0.0,0.0,0.0
2022,2019-2025,5,0.0,0.0,0.0
2022,2019-2025,6,0.0,0.0,0.0
2022,2019-2025,7,0.0,0.0,0.0
2022,2019-2025,8,-0.020770793432231652,-0.006361790732033966,-0.007887800751324761
2022,2019-2025,9,-0.052868443195695,-0.031808272706832036,-0.006686759571807458
2023,2019-2025,1,0.12714904028514964,0.0731241879354032,0.024097811540696068
2023,2019-2025,2,0.12775734375644515,0.07352391040684204,0.02457085308569806
2023,2019-2025,3,0.0,0.0,0.0
2023,2019-2025,4,0.0,0.0,0.0
2023,2019-2025,5,0.0,0.0,0.0
2023,2019-2025,6,0.0,0.0,0.0
2023,2019-2025,7,0.0,0.0,0.0
2023,2019-2025,8,-0.06459231744401865,-0.021800966651824467,-0.025595784680289023
2023,2019-2025,9,-0.0791881455500135,-0.033570847108834206,-0.0254529588733909
2024,2019-2025,1,0.051154524501428475,0.01675871811729749,0.023005635234512437
2024,2019-2025,2,-0.04575713071074243,-0.05771921244055747,0.023739814118053648
2024,2019-2025,3,0.0,0.0,0.0
2024,2019-2025,4,0.0,0.0,0.0
2024,2019-2025,5,0.0,0.0,0.0
2024,2019-2025,6,0.0,0.0,0.0
2024,2019-2025,7,0.0,0.0,0.0
2024,2019-2025,8,-0.0009663551748702497,0.025880798809914098,-0.025843963865014703
2024,2019-2025,9,-0.05696506766150835,-0.01652895754619979,-0.025993233422349483
2025,2019-2025,1,0.24535959458059464,0.17330499575600042,0.01218728777153065
2025,2019-2025,2,0.17113109294566006,0.11665667554876658,0.012406948245112183
2025,2019-2025,3,0.0,0.0,0.0
2025,2019-2025,4,0.0,0.0,0.0
2025,2019-2025,5,0.0,0.0,0.0
2025,2019-2025,6,0.0,0.0,0.0
2025,2019-2025,7,0.0,0.0,0.0
2025,2019-2025,8,-0.10981782649363046,-0.06782689574548,-0.013725697900632893
2025,2019-2025,9,-0.04353719143184956,-0.017776065511132866,-0.01416644969117525
