fold,era,policy,state,pair_observations,traded_notional_jpy,spread_jpy,commission_jpy,trading_cost_jpy,overnight_jpy,cost_jpy,cost_share,trading_cost_share_of_total,overnight_share_of_total,share_of_trading_cost,notional_share,mean_price_simple_contribution,mean_carry_simple_contribution,mean_gross_simple_contribution,mean_net_simple_contribution
2009,2009-2018,supervised,initial_entry,4,3200000.047683716,92.00000137090683,0.0,92.00000137090683,192.00000286102295,284.0000042319298,0.005121136913016567,0.0016589598450617049,0.0034621770679548625,0.002448863146745522,0.003132703686859457,0.0009497807922270971,-3.757721128772797e-05,0.0009122035809393692,0.0008412035798813867
2009,2009-2018,supervised,entry,418,342073478.3273622,12557.92400262351,0.0,12557.92400262351,9433.01055903094,21990.934561654445,0.3965443135819461,0.22644664507882292,0.17009766850312324,0.3342677916457144,0.3348796346139565,0.0006411730684004505,-4.0608163818526877e-07,0.000640766986762265,0.0005893491231571639
2009,2009-2018,supervised,exit,418,342185459.34333867,12557.171575489443,0.0,12557.171575489443,0.0,12557.171575489443,0.2264330771833539,0.2264330771833539,0.0,0.3342477634821082,0.33498926065657536,0.0,0.0,0.0,-2.936867616409566e-05
2009,2009-2018,supervised,reversal,203,332645956.54348505,12307.951764546207,0.0,12307.951764546207,4636.316243938472,16944.26800848468,0.30554195446924126,0.22193910269652914,0.0836028517727121,0.3276140112933743,0.3256503746732645,-0.000767071145091074,7.476478410283047e-07,-0.0007663234972500456,-0.0008478143706701298
2009,2009-2018,supervised,retained,155,1376984.508389546,53.40620274020274,0.0,53.40620274020274,3626.6561879021256,3680.062390642328,0.06635951785244225,0.0009630298315543104,0.06539648802088795,0.001421570432057191,0.0013480263693441818,-0.0003892428366638755,-8.462576373991173e-07,-0.00039008909430127456,-0.0004132517904523181
2009,2009-2018,supervised,inactive,557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,2009-2018,reversal,initial_entry,4,3200000.047683716,120.00000178813934,0.0,120.00000178813934,192.00000286102295,312.0000046491623,0.011086635620625859,0.004264090623317639,0.006822544997308221,0.012232667693616384,0.012448766144132576,0.0012657324424372985,-6.442230131818476e-05,0.0012013101411191137,0.0011233101399568232
2009,2009-2018,reversal,entry,144,121774466.21306503,4688.381157513042,0.0,4688.381157513042,3316.0214993551526,8004.402656868195,0.2844291483817626,0.16659734861992653,0.11783179976183604,0.4779283988855584,0.4737318217574146,0.0002704259075609271,-5.983129859886352e-06,0.00026444277770104076,0.00021185018432475736
2009,2009-2018,reversal,exit,144,121440284.27692121,4686.90715769503,0.0,4686.90715769503,0.0,4686.90715769503,0.16654497138068405,0.16654497138068405,0.0,0.47777814097151244,0.4724317740353343,0.0,0.0,0.0,-3.08044789020704e-05
2009,2009-2018,reversal,reversal,3,5130124.500938091,119.73464282082828,0.0,119.73464282082828,51.700874675581694,171.43551749640997,0.006091804764725441,0.00425466133442211,0.0018371434303033317,0.012205617293464154,0.019957412265881113,-0.002420854355519379,-1.0490413095577955e-05,-0.0024313447686149566,-0.002484246202322179
2009,2009-2018,reversal,retained,629,5508716.508852919,194.77526193644883,0.0,194.77526193644883,14772.470833697807,14967.246095634255,0.5318474398522018,0.006921161297512063,0.5249262785546899,0.019855175155848722,0.02143022579723738,0.00011808102347309236,-1.5636869497843887e-05,0.0001024441539752484,7.973609163033008e-05
2009,2009-2018,reversal,inactive,831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
