decision_index,decision_timestamp,target_timestamp,state,score_correlation,score_correlation_status,rank_correlation,rank_correlation_status,score_changed_pairs,original_rank_churn,rank_churn,membership_exit_rate,entries,exits,reversals,bottom_boundary_gap,top_boundary_gap,weight_turnover,traded_notional_jpy,traded_notional_over_equity,spread_jpy,commission_jpy,trading_cost_jpy,overnight_jpy,cost_jpy,cost_ratio,cost_residual_ratio,price_simple_return,carry_simple_return,gross_simple_return,net_simple_return,fold,era,policy
0,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,initial_entry,,initial_decision,,initial_decision,,,,,4,0,0,0.0010664585803001978,0.002036576170423859,3.200000047683716,3200000.047683716,3.200000047683716,92.00000137090683,0.0,92.00000137090683,192.00000286102295,284.0000042319298,0.00028400000423192977,0.0,0.0037991231689083883,-0.00015030884515091189,0.0036488143237574768,0.003364814319525511,2009,2009-2018,supervised
1,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,membership_changed,0.13685244652240164,defined,0.3666666666666667,defined,9.0,0.25,0.25,0.75,2,2,1,0.000838918969182974,0.0029772318545792293,4.800000071525574,4807262.129354272,4.791140830082347,176.37896629937075,0.0,176.37896629937075,64.2153490733329,240.59431537270365,0.00023978747504303595,2.710505431213761e-20,-0.0034151306803591776,-2.5950880775067572e-05,-0.003441081561134246,-0.003680869036177259,2009,2009-2018,supervised
2,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,membership_changed,0.4110880740141555,defined,0.48333333333333334,defined,9.0,0.2777777777777778,0.2777777777777778,0.75,3,3,0,0.002349342565698971,7.38591238111392e-05,4.800000071525574,4846692.125625392,4.848284496949141,182.04424834568823,0.0,182.04424834568823,63.97898078328156,246.02322912896977,0.0002461040595850595,0.0,-0.00677579424403444,7.300638537246686e-05,-0.006702787858661973,-0.006948891918246991,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,membership_changed,-0.5285157746962685,defined,-0.6333333333333333,defined,9.0,0.5277777777777778,0.5277777777777778,1.0,3,3,1,0.002308619986192162,0.000394195452229797,6.400000095367432,6414710.225741882,6.461719557188601,244.7202881475573,0.0,244.7202881475573,63.53439776077893,308.2546859083362,0.000310513688449358,0.0,7.598288329970296e-06,2.5802828980270403e-05,3.340111731024026e-05,-0.00027711257113915977,2009,2009-2018,supervised
4,2009-04-09T00:00:00+01:00,2009-04-10T00:00:00+01:00,membership_changed,-0.3423007772824911,defined,-0.33333333333333337,defined,9.0,0.4444444444444444,0.4444444444444444,1.0,2,2,2,2.0245831633576572e-05,0.00031953738760143874,6.400000095367432,6327271.053334743,6.375406303931716,252.96929270142664,0.0,252.96929270142664,63.51679158045966,316.4860842818863,0.0003188937789813783,0.0,0.0033669568295827557,4.507595699920127e-05,0.003412032786581957,0.003093139007600554,2009,2009-2018,supervised
5,2009-04-10T00:00:00+01:00,2009-04-13T00:00:00+01:00,membership_changed,-0.7417066001941395,defined,-0.8333333333333333,defined,9.0,0.5555555555555556,0.5555555555555556,1.0,1,1,3,0.0010978760441774128,0.0002278952262837271,6.400000095367432,6365935.98958229,6.394586043429146,286.3820791986212,0.0,286.3820791986212,191.13977353840446,477.5218527370257,0.00047967095175661294,0.0,0.0066282039481101295,-4.2358682867972715e-05,0.006585845265242155,0.006106174313485591,2009,2009-2018,supervised
6,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,membership_changed,0.29942064591457085,defined,0.35,defined,9.0,0.3055555555555556,0.3055555555555556,0.5,2,2,0,0.0002517178788892931,0.00016039891897650337,3.200000047683716,3214702.477597971,3.2095721195200304,127.97012203193327,0.0,127.97012203193327,64.10230210462338,192.07242413655666,0.00019176589489486618,0.0,0.014354418044250366,-9.111579028105784e-05,0.014263302253969308,0.014071536359074432,2009,2009-2018,supervised
7,2009-04-14T00:00:00+01:00,2009-04-15T00:00:00+01:00,membership_changed,-0.6511985006824306,defined,-0.6166666666666666,defined,9.0,0.5555555555555556,0.5555555555555556,1.0,3,3,1,0.0008907442691182626,0.00020622261926676682,6.400000095367432,6510056.162562181,6.409475566309424,227.92238447601684,0.0,227.92238447601684,65.00431997938895,292.9267044554058,0.0002884009765881236,0.0,-0.016915033467760635,4.4814417904541736e-05,-0.016870219049856094,-0.017158620026444193,2009,2009-2018,supervised
8,2009-04-15T00:00:00+01:00,2009-04-16T00:00:00+01:00,membership_changed,0.598101217733155,defined,0.6666666666666667,defined,9.0,0.2222222222222222,0.2222222222222222,0.5,2,2,0,0.0012800196505553646,3.9432967121109594e-05,3.200000047683716,3249008.2551896824,3.2546563756542426,134.30670434365808,0.0,134.30670434365808,63.88893555278521,198.19563989644328,0.00019854018591226137,-2.710505431213761e-20,-0.012083746623781021,7.304344545016002e-05,-0.012010703178330863,-0.012209243364243116,2009,2009-2018,supervised
9,2009-04-16T00:00:00+01:00,2009-04-17T00:00:00+01:00,membership_changed,0.41488749938585595,defined,0.13333333333333333,defined,9.0,0.3611111111111111,0.3611111111111111,0.75,2,2,1,2.0456646565172355e-05,7.447560134996034e-05,4.800000071525574,4788070.684808699,4.855678492905572,144.20308243522877,0.0,144.20308243522877,63.10889999033882,207.31198242556758,0.0002102392384430025,0.0,-0.003101101670468999,-1.1132101551968306e-05,-0.003112233772020968,-0.0033224730104639555,2009,2009-2018,supervised
