fold,era,policy,gap,response,correlation,status,decisions
2009,2009-2018,supervised,bottom_boundary_gap,membership_exit_rate,-0.020219757837139602,defined,194
2009,2009-2018,supervised,bottom_boundary_gap,cost_ratio,0.052058695483918276,defined,194
2009,2009-2018,supervised,top_boundary_gap,membership_exit_rate,-0.1157187329427503,defined,194
2009,2009-2018,supervised,top_boundary_gap,cost_ratio,-0.03875343974675599,defined,194
2009,2009-2018,reversal,bottom_boundary_gap,membership_exit_rate,-0.2520726057373891,defined,194
2009,2009-2018,reversal,bottom_boundary_gap,cost_ratio,-0.1579626598566948,defined,194
2009,2009-2018,reversal,top_boundary_gap,membership_exit_rate,-0.18198616105254753,defined,194
2009,2009-2018,reversal,top_boundary_gap,cost_ratio,-0.1260675055894724,defined,194
2010,2009-2018,supervised,bottom_boundary_gap,membership_exit_rate,0.10951430042445875,defined,196
2010,2009-2018,supervised,bottom_boundary_gap,cost_ratio,0.10045034428256376,defined,196
2010,2009-2018,supervised,top_boundary_gap,membership_exit_rate,-0.009475916665906702,defined,196
2010,2009-2018,supervised,top_boundary_gap,cost_ratio,-0.06964688094139417,defined,196
2010,2009-2018,reversal,bottom_boundary_gap,membership_exit_rate,-0.2607091619739004,defined,196
2010,2009-2018,reversal,bottom_boundary_gap,cost_ratio,-0.190481460136844,defined,196
2010,2009-2018,reversal,top_boundary_gap,membership_exit_rate,-0.2150575820040238,defined,196
2010,2009-2018,reversal,top_boundary_gap,cost_ratio,-0.11345524536832675,defined,196
2011,2009-2018,supervised,bottom_boundary_gap,membership_exit_rate,0.06410595590316705,defined,194
2011,2009-2018,supervised,bottom_boundary_gap,cost_ratio,0.06068514946329171,defined,194
2011,2009-2018,supervised,top_boundary_gap,membership_exit_rate,0.05284852244837102,defined,194
2011,2009-2018,supervised,top_boundary_gap,cost_ratio,0.06653755908972246,defined,194
2011,2009-2018,reversal,bottom_boundary_gap,membership_exit_rate,-0.1738876414628687,defined,194
2011,2009-2018,reversal,bottom_boundary_gap,cost_ratio,-0.1471510017441632,defined,194
2011,2009-2018,reversal,top_boundary_gap,membership_exit_rate,-0.26084789163292704,defined,194
2011,2009-2018,reversal,top_boundary_gap,cost_ratio,-0.20946461450324852,defined,194
2012,2009-2018,supervised,bottom_boundary_gap,membership_exit_rate,0.006958607778308171,defined,196
2012,2009-2018,supervised,bottom_boundary_gap,cost_ratio,0.01884344287022316,defined,196
2012,2009-2018,supervised,top_boundary_gap,membership_exit_rate,0.024360976868078345,defined,196
2012,2009-2018,supervised,top_boundary_gap,cost_ratio,0.11019901044711983,defined,196
2012,2009-2018,reversal,bottom_boundary_gap,membership_exit_rate,-0.3449341943277588,defined,196
2012,2009-2018,reversal,bottom_boundary_gap,cost_ratio,-0.19966676213683188,defined,196
2012,2009-2018,reversal,top_boundary_gap,membership_exit_rate,-0.3584292083142363,defined,196
2012,2009-2018,reversal,top_boundary_gap,cost_ratio,-0.25281140091890364,defined,196
2013,2009-2018,supervised,bottom_boundary_gap,membership_exit_rate,-0.05474311259500659,defined,195
2013,2009-2018,supervised,bottom_boundary_gap,cost_ratio,-0.027960512317539783,defined,195
2013,2009-2018,supervised,top_boundary_gap,membership_exit_rate,-0.013127086388422152,defined,195
