fold,era,policy,decisions,total_cost_jpy,total_traded_notional_jpy,trading_cost_share,overnight_cost_share,total_cost_ratio,mean_weight_turnover,mean_membership_turnover,mean_rank_churn,mean_actual_notional_over_equity,mean_reversals,mean_bottom_boundary_gap,mean_top_boundary_gap,mean_score_changed_pairs,completed_spells,censored_spells,score_correlation_observations,score_correlation_undefined,mean_score_correlation,rank_correlation_observations,rank_correlation_undefined,mean_rank_correlation
2009,2009-2018,supervised,195,55456.43654050282,1021481878.7702591,0.6774408146353222,0.3225591853646781,0.05545643654050282,5.111794947966551,0.8002577319587629,0.38258877434135163,5.118952467189115,1.0463917525773196,0.00047408757189109084,0.0004703943055557971,9.0,621,4,194,0,-0.07415397283668812,194,0,-0.07216494845360824
2009,2009-2018,reversal,195,28141.991432343057,257053591.54746097,0.3485822332558624,0.6514177667441373,0.028141991432343055,1.2225641207817273,0.18943298969072164,0.08949026345933563,1.2478054025571383,0.015463917525773196,0.00803384419248331,0.00912793011991591,9.0,147,4,194,0,0.9352621395476736,194,0,0.8963917525773195
2010,2009-2018,supervised,197,56600.250504322656,1043995325.3468543,0.6789609640053402,0.32103903599465977,0.05660025050432266,5.124873172813261,0.8022959183673469,0.38222789115646255,5.131204758586476,1.0153061224489797,0.00028455917520340553,0.00030016116075599257,9.0,629,4,196,0,-0.05818292525059074,196,0,-0.06462585034013606
2010,2009-2018,reversal,197,26028.10619520751,237909557.63142624,0.33917107654825773,0.6608289234517423,0.026028106195207512,1.2020304747644415,0.18622448979591838,0.08092403628117915,1.2324386175506183,0.0,0.007651889759802964,0.007963044753431016,9.0,146,4,196,0,0.9468706428071887,196,0,0.9168367346938775
2011,2009-2018,supervised,195,55595.863347300794,1002970868.5517535,0.6773662704189148,0.3226337295810852,0.055595863347300795,5.021538536365216,0.7860824742268041,0.3838774341351661,5.0283306424283465,1.0618556701030928,0.00022274575877627662,0.00022182839963003596,9.0,610,4,194,0,-0.07803537964318474,194,0,-0.07895189003436424
2011,2009-2018,reversal,195,29790.75354088105,289836067.02618605,0.3705762685576686,0.6294237314423315,0.02979075354088105,1.3538461740200336,0.21005154639175258,0.10352233676975946,1.3798682543857586,0.0,0.005182965111476308,0.008938939404714453,9.0,163,4,194,0,0.9358438718642421,194,0,0.8729381443298969
2012,2009-2018,supervised,197,55691.10586367639,1025429374.7148665,0.6786369070364404,0.32136309296355936,0.05569110586367639,5.1736041380064135,0.8099489795918368,0.39441609977324266,5.177827658983596,1.1734693877551021,0.00022658216870563276,0.00022730729873825071,9.0,635,4,196,0,-0.144064158381337,196,0,-0.12772108843537414
2012,2009-2018,reversal,197,25044.799050942358,226587236.79071045,0.33298987001769914,0.6670101299823009,0.025044799050942358,1.2020304747644415,0.18622448979591838,0.09169501133786848,1.2208304988660008,0.0,0.006207816460829394,0.00491191903415999,9.0,146,4,196,0,0.9383471928340804,196,0,0.8920068027210885
2013,2009-2018,supervised,196,57438.45610396482,1071233228.1453718,0.6893839255268953,0.31061607447310463,0.057438456103964815,5.387755182324623,0.8435897435897436,0.4115384615384615,5.390360832069439,1.2666666666666666,0.00017311083112493813,0.0001745496764567072,9.0,658,4,195,0,-0.21768753118341594,195,0,-0.19444444444444442
2013,2009-2018,reversal,196,30326.405301944098,294223623.111447,0.36960843053303744,0.6303915694669626,0.0303264053019441,1.3551020610089204,0.21025641025641026,0.08575498575498575,1.3776226486489322,0.015384615384615385,0.00821346025960338,0.004531159353432419,9.0,164,4,195,0,0.9383416903760419,195,0,0.9029059829059829
2014,2009-2018,supervised,198,56942.353276440044,1046839179.6704789,0.6980443030605336,0.30195569693946644,0.056942353276440046,5.4303031112208515,0.850253807106599,0.41215454032712917,5.431228715471496,1.4416243654822336,0.00014158291672899782,0.0001629729391459028,9.0,670,4,197,0,-0.24275886506406272,197,0,-0.21912013536379019
2014,2009-2018,reversal,198,26776.208178431378,239976603.12653628,0.33036635322338537,0.6696336467766146,0.026776208178431377,1.171717189177118,0.1814720812182741,0.08460236886632824,1.1884713086169916,0.005076142131979695,0.008143588950844995,0.005042993217471247,9.0,143,4,197,0,0.9483788137522872,197,0,0.9049915397631132
2015,2009-2018,supervised,198,52797.3727904,958027340.4630299,0.6837897612002318,0.31621023879976823,0.0527973727904,5.115151591373213,0.800761421319797,0.3956570783981952,5.120385713764088,1.0964467005076142,0.0001442059724061024,0.00014763400867781495,9.0,631,4,197,0,-0.13213846409836388,197,0,-0.11531302876480543
2015,2009-2018,reversal,198,29483.812917640593,286447953.6567209,0.36099772499274113,0.6390022750072589,0.029483812917640594,1.3333333532015483,0.2068527918781726,0.08587140439932317,1.354149417349694,0.0,0.008645580006471422,0.007303948228254902,9.0,163,4,197,0,0.9409342751520624,197,0,0.9032148900169205
2016,2009-2018,supervised,197,51103.96003937087,957233804.8720179,0.6732789730785614,0.3267210269214385,0.051103960039370865,5.1167513452810685,0.8010204081632653,0.3854875283446712,5.1236737035847915,1.0918367346938775,0.00014306333326145925,0.00015142933648477336,9.0,628,4,196,0,-0.0951237383380739,196,0,-0.08988095238095238
2016,2009-2018,reversal,197,25073.35726645383,214603583.44106603,0.30584187871115326,0.6941581212888468,0.02507335726645383,1.0720812342493666,0.16581632653061223,0.08772675736961452,1.0955714363260811,0.0,0.006891417450840895,0.007424655117677229,9.0,130,4,196,0,0.9379018225635106,196,0,0.8983843537414965
2017,2009-2018,supervised,195,50363.70996515638,916071959.5298555,0.665138700918796,0.334861299081204,0.05036370996515638,4.93128212476388,0.7719072164948454,0.36798396334478806,4.935285472642631,0.8762886597938144,0.00012801957813749604,0.00012391410942902433,9.0,599,4,194,0,-0.01289765581690363,194,0,-0.004982817869415808
2017,2009-2018,reversal,195,24362.488641444193,203590484.85346878,0.30588554199236895,0.694114458007631,0.024362488641444194,1.0748718108886328,0.16623711340206185,0.07674684994272624,1.0917599169147205,0.0,0.00574211888895635,0.005195783124917906,9.0,129,4,194,0,0.9523320980435221,194,0,0.9191580756013745
2018,2009-2018,supervised,198,50926.641712397424,926912542.091999,0.6621896439058184,0.3378103560941817,0.05092664171239743,4.840404112531681,0.7576142131979695,0.3650592216582065,4.8449920703601075,0.868020304568528,0.00010699574632051926,0.00011142471991501913,9.0,597,4,197,0,0.005902107274883062,197,0,0.02021996615905245
2018,2009-2018,reversal,198,24123.59554332245,200126935.8869824,0.3070136090109527,0.6929863909890472,0.02412359554332245,1.0585858743600172,0.16370558375634517,0.07910321489001693,1.0745533671758,0.0,0.005055942741164909,0.0074953465073966125,9.0,129,4,197,0,0.9513325449010206,197,0,0.917766497461929
2019,2019-2025,supervised,197,49932.49124411377,894247894.9838161,0.6712525749951209,0.3287474250048792,0.04993249124411377,4.913705656976264,0.7691326530612245,0.3645124716553288,4.91857707347109,0.9336734693877551,0.00013158729820066274,0.00014361168254304805,9.0,603,4,196,0,0.028414828012043036,196,0,0.012670068027210884
2019,2019-2025,reversal,197,26005.903491222103,246647730.71091002,0.3407371028602316,0.6592628971397685,0.0260059034912221,1.2832487500863632,0.1989795918367347,0.08361678004535149,1.296266289285099,0.0,0.0037683014405011563,0.004182624213802699,9.0,156,4,196,0,0.9425651656686299,196,0,0.911904761904762
2020,2019-2025,supervised,199,51546.32525952987,901256372.8993169,0.6481033382912098,0.3518966617087903,0.05154632525952987,4.422110618658401,0.6919191919191919,0.3331930415263748,4.429534355694025,0.8333333333333334,0.00015955413561331624,0.0001432767637078587,9.0,548,4,198,0,0.13697172511442357,198,0,0.11565656565656567
2020,2019-2025,reversal,199,28478.579012207912,257049912.09302133,0.3536456636060034,0.6463543363939968,0.028478579012207912,1.2221105709746853,0.1893939393939394,0.08922558922558924,1.2397015087924754,0.015151515151515152,0.006676492152307068,0.0066077112590019116,9.0,150,4,198,0,0.9339343648425706,198,0,0.8914983164983165
2021,2019-2025,supervised,197,47990.3199675201,854284615.2457503,0.6622030301651968,0.3377969698348031,0.0479903199675201,4.702538141139268,0.735969387755102,0.34764739229024944,4.707853896616156,0.8469387755102041,0.00014509175635592683,0.0001237103366388009,9.0,577,4,196,0,0.06340583126943572,196,0,0.07278911564625849
