fold,era,policy,side,duration_decisions,right_censored,spells
2009,2009-2018,supervised,short,1,False,249
2009,2009-2018,supervised,long,1,False,244
2009,2009-2018,supervised,long,2,False,54
2009,2009-2018,supervised,short,2,False,54
2009,2009-2018,supervised,short,3,False,9
2009,2009-2018,supervised,short,1,True,2
2009,2009-2018,supervised,long,3,False,5
2009,2009-2018,supervised,long,1,True,2
2009,2009-2018,supervised,long,5,False,1
2009,2009-2018,supervised,long,4,False,4
2009,2009-2018,supervised,short,4,False,1
2009,2009-2018,reversal,short,11,False,1
2009,2009-2018,reversal,short,4,False,4
2009,2009-2018,reversal,short,26,False,1
2009,2009-2018,reversal,short,2,False,14
2009,2009-2018,reversal,long,5,False,2
2009,2009-2018,reversal,long,3,False,5
2009,2009-2018,reversal,short,9,False,4
2009,2009-2018,reversal,short,18,False,1
2009,2009-2018,reversal,short,1,False,26
2009,2009-2018,reversal,short,10,False,2
2009,2009-2018,reversal,short,16,False,2
2009,2009-2018,reversal,short,3,False,13
2009,2009-2018,reversal,short,5,False,3
2009,2009-2018,reversal,long,1,False,29
2009,2009-2018,reversal,long,13,False,3
2009,2009-2018,reversal,short,7,False,1
2009,2009-2018,reversal,short,6,False,2
2009,2009-2018,reversal,short,4,True,1
2009,2009-2018,reversal,long,15,False,1
2009,2009-2018,reversal,long,4,False,4
2009,2009-2018,reversal,short,27,False,1
2009,2009-2018,reversal,long,20,False,1
2009,2009-2018,reversal,long,2,False,8
2009,2009-2018,reversal,long,26,False,2
2009,2009-2018,reversal,long,9,False,1
2009,2009-2018,reversal,long,7,False,2
2009,2009-2018,reversal,short,8,False,2
2009,2009-2018,reversal,short,2,True,1
2009,2009-2018,reversal,short,14,False,2
2009,2009-2018,reversal,long,12,False,2
2009,2009-2018,reversal,long,23,True,1
2009,2009-2018,reversal,long,11,False,1
2009,2009-2018,reversal,long,10,False,2
2009,2009-2018,reversal,long,35,False,1
2009,2009-2018,reversal,long,2,True,1
2009,2009-2018,reversal,long,8,False,1
2009,2009-2018,reversal,short,12,False,1
2009,2009-2018,reversal,long,32,False,1
2009,2009-2018,reversal,short,15,False,1
2010,2009-2018,supervised,short,1,False,249
2010,2009-2018,supervised,long,1,False,245
2010,2009-2018,supervised,long,2,False,64
2010,2009-2018,supervised,short,2,False,54
2010,2009-2018,supervised,short,3,False,9
2010,2009-2018,supervised,long,3,False,5
2010,2009-2018,supervised,short,4,False,2
2010,2009-2018,supervised,short,1,True,2
2010,2009-2018,supervised,long,4,False,1
2010,2009-2018,supervised,long,1,True,2
2010,2009-2018,reversal,short,1,False,28
2010,2009-2018,reversal,long,32,False,1
2010,2009-2018,reversal,short,3,False,8
2010,2009-2018,reversal,short,28,False,1
2010,2009-2018,reversal,long,2,False,10
2010,2009-2018,reversal,long,1,False,23
2010,2009-2018,reversal,short,32,False,1
2010,2009-2018,reversal,short,6,False,3
2010,2009-2018,reversal,long,3,False,6
2010,2009-2018,reversal,long,7,False,2
2010,2009-2018,reversal,short,24,False,2
2010,2009-2018,reversal,short,9,False,2
2010,2009-2018,reversal,short,2,False,13
2010,2009-2018,reversal,short,4,False,3
2010,2009-2018,reversal,short,7,False,3
2010,2009-2018,reversal,long,20,False,3
2010,2009-2018,reversal,short,12,False,2
2010,2009-2018,reversal,short,5,True,1
2010,2009-2018,reversal,long,6,False,3
2010,2009-2018,reversal,long,9,False,2
2010,2009-2018,reversal,long,5,False,5
2010,2009-2018,reversal,long,4,False,8
2010,2009-2018,reversal,short,18,False,1
