pair,side,start_timestamp,last_decision_timestamp,end_timestamp,duration_decisions,right_censored,fold,era,policy
JPY/USD,short,2009-04-03T00:00:00+01:00,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-04-07T00:00:00+01:00,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-04-13T00:00:00+01:00,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-04-14T00:00:00+01:00,2009-04-15T00:00:00+01:00,2009-04-16T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/USD,short,2009-04-16T00:00:00+01:00,2009-04-16T00:00:00+01:00,2009-04-17T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-04-17T00:00:00+01:00,2009-04-17T00:00:00+01:00,2009-04-20T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-04-21T00:00:00+01:00,2009-04-21T00:00:00+01:00,2009-04-22T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-04-24T00:00:00+01:00,2009-04-27T00:00:00+01:00,2009-04-28T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/USD,long,2009-04-30T00:00:00+01:00,2009-04-30T00:00:00+01:00,2009-05-01T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-05-01T00:00:00+01:00,2009-05-01T00:00:00+01:00,2009-05-04T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-05-06T00:00:00+01:00,2009-05-06T00:00:00+01:00,2009-05-07T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-05-11T00:00:00+01:00,2009-05-11T00:00:00+01:00,2009-05-12T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-05-13T00:00:00+01:00,2009-05-13T00:00:00+01:00,2009-05-14T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-05-20T00:00:00+01:00,2009-05-20T00:00:00+01:00,2009-05-21T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-05-25T00:00:00+01:00,2009-05-25T00:00:00+01:00,2009-05-26T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-05-26T00:00:00+01:00,2009-05-26T00:00:00+01:00,2009-05-27T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-05-28T00:00:00+01:00,2009-05-28T00:00:00+01:00,2009-05-29T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-06-02T00:00:00+01:00,2009-06-02T00:00:00+01:00,2009-06-03T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-06-03T00:00:00+01:00,2009-06-03T00:00:00+01:00,2009-06-04T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-06-08T00:00:00+01:00,2009-06-10T00:00:00+01:00,2009-06-11T00:00:00+01:00,3,False,2009,2009-2018,supervised
JPY/USD,long,2009-06-11T00:00:00+01:00,2009-06-11T00:00:00+01:00,2009-06-12T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-06-15T00:00:00+01:00,2009-06-16T00:00:00+01:00,2009-06-17T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/USD,short,2009-06-17T00:00:00+01:00,2009-06-18T00:00:00+01:00,2009-06-19T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/USD,long,2009-06-23T00:00:00+01:00,2009-06-24T00:00:00+01:00,2009-06-25T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/USD,short,2009-07-01T00:00:00+01:00,2009-07-01T00:00:00+01:00,2009-07-02T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-07-07T00:00:00+01:00,2009-07-07T00:00:00+01:00,2009-07-08T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-07-10T00:00:00+01:00,2009-07-10T00:00:00+01:00,2009-07-13T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-07-14T00:00:00+01:00,2009-07-14T00:00:00+01:00,2009-07-15T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-07-20T00:00:00+01:00,2009-07-20T00:00:00+01:00,2009-07-21T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-07-22T00:00:00+01:00,2009-07-22T00:00:00+01:00,2009-07-23T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-07-23T00:00:00+01:00,2009-07-23T00:00:00+01:00,2009-07-24T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-07-28T00:00:00+01:00,2009-07-28T00:00:00+01:00,2009-07-29T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-07-29T00:00:00+01:00,2009-07-29T00:00:00+01:00,2009-07-30T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-08-03T00:00:00+01:00,2009-08-03T00:00:00+01:00,2009-08-04T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-08-05T00:00:00+01:00,2009-08-05T00:00:00+01:00,2009-08-06T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-08-10T00:00:00+01:00,2009-08-10T00:00:00+01:00,2009-08-11T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,long,2009-08-13T00:00:00+01:00,2009-08-14T00:00:00+01:00,2009-08-17T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/USD,short,2009-08-19T00:00:00+01:00,2009-08-19T00:00:00+01:00,2009-08-20T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/USD,short,2009-08-26T00:00:00+01:00,2009-08-26T00:00:00+01:00,2009-08-27T00:00:00+01:00,1,False,2009,2009-2018,supervised
