decision_index,decision_timestamp,target_timestamp,pair,state,score,score_changed,rank,target_weight,previous_weight,marked_exposure_jpy,signed_trade_jpy,signed_target_change_jpy,signed_drift_jpy,traded_notional_jpy,spread_jpy,commission_jpy,trading_cost_jpy,overnight_jpy,cost_jpy,cost_ratio,price_simple_contribution,carry_simple_contribution,gross_simple_contribution,net_simple_contribution,fold,era,policy
0,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,JPY/USD,initial_entry,-0.0006517540838351319,,2,-0.800000011920929,0.0,0.0,-800000.011920929,-800000.011920929,0.0,800000.011920929,12.000000178813934,0.0,12.000000178813934,48.00000071525574,60.00000089406967,6.000000089406967e-05,0.0036522356615693546,-3.207208852332215e-05,0.0036201635730460325,0.003560163572151963,2009,2009-2018,supervised
0,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,JPY/EUR,initial_entry,-0.000845934624700745,,1,-0.800000011920929,0.0,0.0,-800000.011920929,-800000.011920929,0.0,800000.011920929,20.000000298023224,0.0,20.000000298023224,48.00000071525574,68.00000101327896,6.800000101327896e-05,-0.0011844651969875636,1.90967258929476e-05,-0.001165368471094616,-0.001233368472107895,2009,2009-2018,supervised
0,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,JPY/GBP,inactive,0.001448545171273396,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2009,2009-2018,supervised
0,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,JPY/AUD,inactive,0.0004147044964650659,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2009,2009-2018,supervised
0,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,JPY/CHF,initial_entry,0.003485121341697255,,8,0.800000011920929,0.0,0.0,800000.011920929,800000.011920929,0.0,800000.011920929,28.00000041723251,0.0,28.00000041723251,48.00000071525574,76.00000113248825,7.600000113248825e-05,0.0014264496793924533,3.9522206893520605e-05,0.0014659718862859738,0.0013899718851534855,2009,2009-2018,supervised
0,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,JPY/CAD,inactive,0.0006732473091805498,,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2009,2009-2018,supervised
0,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,JPY/NZD,initial_entry,0.004580565583142693,,9,0.800000011920929,0.0,0.0,800000.011920929,800000.011920929,0.0,800000.011920929,32.00000047683716,0.0,32.00000047683716,48.00000071525574,80.0000011920929,8.00000011920929e-05,-9.509697506585587e-05,-0.00017685568941405795,-0.0002719526644799138,-0.0003519526656720067,2009,2009-2018,supervised
0,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,JPY/NOK,inactive,0.0005836192472826711,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2009,2009-2018,supervised
0,2009-04-03T00:00:00+01:00,2009-04-06T00:00:00+01:00,JPY/SEK,inactive,0.000580000894433407,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2009,2009-2018,supervised
1,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,JPY/USD,exit,-0.00223134824420817,True,4,0.0,-0.800000011920929,-796347.7762593596,796347.7762593596,802691.8634166612,-6344.087157301605,796347.7762593596,11.945216643890394,0.0,11.945216643890394,0.0,11.945216643890394,1.1905157997783238e-05,0.0,0.0,0.0,-1.1905157997783238e-05,2009,2009-2018,supervised
1,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,JPY/EUR,retained,-0.006963844229274647,True,1,-0.800000011920929,-0.800000011920929,-801184.4771179166,-1507.38629874459,0.0,-1507.38629874459,1507.38629874459,0.037684657468614755,0.0,0.037684657468614755,16.053837268333226,16.09152192580184,1.603755851924605e-05,-0.008196814412155294,6.421289853057382e-06,-0.008190393122302237,-0.008206430680821483,2009,2009-2018,supervised
1,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,JPY/GBP,entry,0.004047881743032263,True,8,0.800000011920929,0.0,0.0,802691.8634166612,802691.8634166612,0.0,802691.8634166612,24.080755902499835,0.0,24.080755902499835,16.053837268333226,40.13459317083306,4.000000059604645e-05,0.0006469611269810883,-3.0279371743996554e-05,0.0006166817552370918,0.0005766817546410454,2009,2009-2018,supervised
1,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,JPY/AUD,inactive,-0.0015325759918980784,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2009,2009-2018,supervised
1,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,JPY/CHF,exit,0.0010706498884530337,True,7,0.0,0.800000011920929,801426.4616003213,-801426.4616003213,-802691.8634166612,1265.401816339814,801426.4616003213,28.049926156011246,0.0,28.049926156011246,0.0,28.049926156011246,2.7955859878377827e-05,0.0,0.0,0.0,-2.7955859878377827e-05,2009,2009-2018,supervised
1,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,JPY/CAD,inactive,0.00011428778157240394,True,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2009,2009-2018,supervised
1,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,JPY/NZD,reversal,-0.004089101949730194,True,2,-0.800000011920929,0.800000011920929,799904.9149458632,-1602596.7783625242,-1605383.7268333223,2786.948470797972,1602596.7783625242,64.10387113450098,0.0,64.10387113450098,16.053837268333226,80.1577084028342,7.988889709790805e-05,-0.011674708770929694,5.981931503181096e-05,-0.011614889455897883,-0.011694778352995792,2009,2009-2018,supervised
1,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,JPY/NOK,entry,0.005023664411361852,True,9,0.800000011920929,0.0,0.0,802691.8634166612,802691.8634166612,0.0,802691.8634166612,48.16151180499967,0.0,48.16151180499967,16.053837268333226,64.2153490733329,6.400000095367432e-05,0.015809431375744722,-6.191211391593936e-05,0.015747519261828782,0.01568351926087511,2009,2009-2018,supervised
1,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,JPY/SEK,inactive,-0.00325018298054722,True,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2009,2009-2018,supervised
2,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,JPY/USD,entry,0.0005765599980667001,True,9,0.800000011920929,0.0,0.0,799737.2597910194,799737.2597910194,0.0,799737.2597910194,11.996058896865291,0.0,11.996058896865291,15.99474519582039,27.99080409268568,2.8000000417232515e-05,0.007619848503229003,1.0842020044050342e-05,0.007630690523273053,0.007602690522855821,2009,2009-2018,supervised
2,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,JPY/EUR,exit,-0.0069224282520812695,True,4,0.0,-0.800000011920929,-810916.2585873249,810916.2585873249,799737.2597910194,11178.998796305503,810916.2585873249,20.27290646468312,0.0,20.27290646468312,0.0,20.27290646468312,2.0279567088891684e-05,0.0,-0.0,0.0,-2.0279567088891684e-05,2009,2009-2018,supervised
2,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,JPY/GBP,exit,-0.003460366927467163,True,7,0.0,0.800000011920929,803341.0014477065,-803341.0014477065,-799737.2597910194,-3603.7416566871107,803341.0014477065,24.100230043431196,0.0,24.100230043431196,0.0,24.100230043431196,2.4108148127399022e-05,0.0,-0.0,0.0,-2.4108148127399022e-05,2009,2009-2018,supervised
2,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,JPY/AUD,inactive,-0.011660228335483629,True,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2009,2009-2018,supervised
2,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,JPY/CHF,inactive,-0.004554066923293346,True,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,2009-2018,supervised
2,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,JPY/CAD,entry,-0.0033865078036560236,True,8,0.800000011920929,0.0,0.0,799737.2597910194,799737.2597910194,0.0,799737.2597910194,27.990804092685675,0.0,27.990804092685675,15.99474519582039,43.985549288506064,4.400000065565109e-05,0.008519317115744959,-3.876462536477219e-07,0.008518929469491312,0.00847492946883566,2009,2009-2018,supervised
2,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,JPY/NZD,retained,-0.018812045684701847,True,1,-0.800000011920929,-0.800000011920929,-814405.8554148396,14668.595623820205,0.0,14668.595623820205,14668.595623820205,0.5867438249528083,0.0,0.5867438249528083,15.99474519582039,16.581489020773198,1.6586936836920242e-05,-0.006251095932664605,5.9419602195237444e-05,-0.006191676330469368,-0.0062082632673062885,2009,2009-2018,supervised
2,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,JPY/NOK,exit,-0.006229550053605099,True,5,0.0,0.800000011920929,818554.4905934826,-818554.4905934826,-799737.2597910194,-18817.23080246325,818554.4905934826,49.113269435608956,0.0,49.113269435608956,0.0,49.113269435608956,4.9129405505290645e-05,0.0,-0.0,0.0,-4.9129405505290645e-05,2009,2009-2018,supervised
2,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,JPY/SEK,entry,-0.0140095709011826,True,2,-0.800000011920929,0.0,0.0,-799737.2597910194,-799737.2597910194,0.0,799737.2597910194,47.984235587461164,0.0,47.984235587461164,15.99474519582039,63.97898078328156,6.400000095367432e-05,-0.016663863930343796,3.1324093868267997e-06,-0.01666073152095697,-0.016724731521910643,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/USD,exit,-0.003437700644361489,True,3,0.0,0.800000011920929,807354.605630006,-807354.605630006,-794179.9720097366,-13174.633620269364,807354.605630006,12.11031908445009,0.0,12.11031908445009,0.0,12.11031908445009,1.219906791077772e-05,-0.0,0.0,0.0,-1.219906791077772e-05,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/EUR,entry,0.004035117082169983,True,9,0.800000011920929,0.0,0.0,794179.9720097366,794179.9720097366,0.0,794179.9720097366,19.854499300243415,0.0,19.854499300243415,15.883599440194732,35.73809874043815,3.60000005364418e-05,0.00011502469853254576,-6.3570783731409275e-06,0.00010866762015940484,7.266761962296303e-05,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/GBP,entry,-0.005746320630553651,True,2,-0.800000011920929,0.0,0.0,-794179.9720097366,-794179.9720097366,0.0,794179.9720097366,23.825399160292097,0.0,23.825399160292097,15.883599440194732,39.70899860048683,4.000000059604645e-05,0.0045068992498864275,3.0084459804626132e-05,0.004536983709691054,0.004496983709095007,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/AUD,inactive,-0.0005240909861107564,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/CHF,inactive,0.0009486935890330941,True,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/CAD,exit,-0.0028347696478258004,True,4,0.0,0.800000011920929,808253.7788209091,-808253.7788209091,-794179.9720097366,-14073.806811172515,808253.7788209091,28.288882258731817,0.0,28.288882258731817,0.0,28.288882258731817,2.8496193484891554e-05,-0.0,-0.0,-0.0,-2.8496193484891554e-05,2009,2009-2018,supervised
