fold,declared_start_inclusive,declared_end_inclusive,timezone,raw_first,raw_last,raw_bars,feature_warmup_bars,observation_window_bars,additional_predecision_bars,excluded_decision_bars,first_observation_start,first_decision,last_decision,first_target,last_target,decision_count_per_policy,pair_targets_per_policy,equity_observations_per_policy,targets_in_next_year,elapsed_seconds,elapsed_days,elapsed_years,steps_per_year
2009,2009-01-01,2010-01-01,Europe/London,2009-01-05T00:00:00+00:00,2010-01-01T00:00:00+00:00,259,32,32,31,63,2009-02-19T00:00:00+00:00,2009-04-03T00:00:00+01:00,2009-12-31T00:00:00+00:00,2009-04-06T00:00:00+01:00,2010-01-01T00:00:00+00:00,195,1755,196,1,23590800.0,273.0416666666667,0.7475473420031942,260.85304440714174
2010,2010-01-01,2011-01-01,Europe/London,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,261,32,32,31,63,2010-02-16T00:00:00+00:00,2010-03-31T00:00:00+01:00,2010-12-30T00:00:00+00:00,2010-04-01T00:00:00+01:00,2010-12-31T00:00:00+00:00,197,1773,198,0,23763600.0,275.0416666666667,0.7530230435774583,261.61217997273144
2011,2011-01-01,2012-01-01,Europe/London,2011-01-03T00:00:00+00:00,2011-12-30T00:00:00+00:00,259,32,32,31,63,2011-02-16T00:00:00+00:00,2011-03-31T00:00:00+01:00,2011-12-29T00:00:00+00:00,2011-04-01T00:00:00+01:00,2011-12-30T00:00:00+00:00,195,1755,196,0,23677200.0,274.0416666666667,0.7502851927903262,259.90117074654097
2012,2012-01-01,2013-01-01,Europe/London,2012-01-02T00:00:00+00:00,2013-01-01T00:00:00+00:00,261,32,32,31,63,2012-02-15T00:00:00+00:00,2012-03-29T00:00:00+01:00,2012-12-31T00:00:00+00:00,2012-03-30T00:00:00+01:00,2013-01-01T00:00:00+00:00,197,1773,198,1,24022800.0,278.0416666666667,0.7612365959388546,258.78945002247866
2013,2013-01-01,2014-01-01,Europe/London,2013-01-01T00:00:00+00:00,2014-01-01T00:00:00+00:00,260,32,32,31,63,2013-02-15T00:00:00+00:00,2013-04-01T00:00:00+01:00,2013-12-31T00:00:00+00:00,2013-04-02T00:00:00+01:00,2014-01-01T00:00:00+00:00,196,1764,197,1,23763600.0,275.0416666666667,0.7530230435774583,260.2841993637328
2014,2014-01-01,2015-01-01,Europe/London,2014-01-01T00:00:00+00:00,2015-01-01T00:00:00+00:00,262,32,32,31,63,2014-02-14T00:00:00+00:00,2014-03-31T00:00:00+01:00,2014-12-31T00:00:00+00:00,2014-04-01T00:00:00+01:00,2015-01-01T00:00:00+00:00,198,1782,199,1,23850000.0,276.0416666666667,0.7557608943645905,261.9876226415094
2015,2015-01-01,2016-01-01,Europe/London,2015-01-01T00:00:00+00:00,2016-01-01T00:00:00+00:00,262,32,32,31,63,2015-02-16T00:00:00+00:00,2015-03-31T00:00:00+01:00,2015-12-31T00:00:00+00:00,2015-04-01T00:00:00+01:00,2016-01-01T00:00:00+00:00,198,1782,199,1,23850000.0,276.0416666666667,0.7557608943645905,261.9876226415094
2016,2016-01-01,2017-01-01,Europe/London,2016-01-01T00:00:00+00:00,2016-12-30T00:00:00+00:00,261,32,32,31,63,2016-02-16T00:00:00+00:00,2016-03-30T00:00:00+01:00,2016-12-29T00:00:00+00:00,2016-03-31T00:00:00+01:00,2016-12-30T00:00:00+00:00,197,1773,198,0,23763600.0,275.0416666666667,0.7530230435774583,261.61217997273144
2017,2017-01-01,2018-01-01,Europe/London,2017-01-02T00:00:00+00:00,2018-01-01T00:00:00+00:00,259,32,32,31,63,2017-02-15T00:00:00+00:00,2017-03-30T00:00:00+01:00,2017-12-29T00:00:00+00:00,2017-03-31T00:00:00+01:00,2018-01-01T00:00:00+00:00,195,1755,196,1,23936400.0,277.0416666666667,0.7584987451517226,257.08677996691233
2018,2018-01-01,2019-01-01,Europe/London,2018-01-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,262,32,32,31,63,2018-02-14T00:00:00+00:00,2018-03-29T00:00:00+01:00,2018-12-31T00:00:00+00:00,2018-03-30T00:00:00+01:00,2019-01-01T00:00:00+00:00,198,1782,199,1,24022800.0,278.0416666666667,0.7612365959388546,260.1031020530496
