scenario,fold,policy,status,result_path,pairs_path,coverage.measurement_start,coverage.measurement_end,coverage.first_decision,coverage.last_mark,coverage.planned_last_mark,coverage.initial_flat_seconds,coverage.trailing_coverage_gap_seconds,coverage.elapsed_seconds,metrics.steps,metrics.cumulative_log_return,metrics.gross_cumulative_log_return,metrics.annualized_net_return,metrics.annualized_gross_return,metrics.final_equity_ratio,metrics.sharpe_annualized,metrics.max_drawdown,metrics.total_cost_ratio,metrics.mean_gross_leverage,metrics.mean_weight_turnover,metrics.total_weight_turnover,metrics.terminated_by_margin_call,metrics.eval_start,metrics.eval_end,metrics.annualized_gross_minus_net,metrics.total_price_pnl_jpy,metrics.total_financing_jpy,metrics.total_spread_jpy,metrics.total_commission_jpy,metrics.total_overnight_jpy,metrics.total_actual_traded_notional_jpy,metrics.mean_target_gross_exposure,metrics.mean_target_net_exposure,metrics.period_net_return,metrics.period_gross_return,metrics.annualized_net_volatility
F0,2009,canonical,complete,fold-2009/F0-canonical.json.gz,fold-2009/F0-canonical-pairs.csv.gz,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,-0.005530593351301582,0.018165603111294008,-0.008415009450731686,0.028145414604205318,0.9944846722245788,-0.05027613898293384,0.13656967133632725,0.02334691500622723,3.1989852551071607,1.2631579135593616,216.00000321865082,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.03656042405493701,26163.93624783072,-8332.34901702433,8306.28364213202,0.0,15040.631364095218,218039989.19017658,3.200000047683716,0.0,-0.005515327775421186,0.0183316013085085,0.16759182529229066
F0,2009,ridge,complete,fold-2009/F0-ridge.json.gz,fold-2009/F0-ridge-pairs.csv.gz,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,0.01664506503505049,0.06397803544119494,0.025759449713420094,0.10269471115812884,1.0167843659477211,0.19211992250798393,0.09217370252771728,0.0500153875250992,3.1994681691029845,5.09941528066557,872.0000129938126,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.07693526144470875,66786.86722868156,12.88624414004029,33852.50682582356,0.0,16162.880699275647,922180551.9700692,3.200000047683716,0.0,0.016784365947721147,0.06606898276948293,0.13199458518116433
F0,2009,ppo_ens3,complete,fold-2009/F0-ppo_ens3.json.gz,fold-2009/F0-ppo_ens3-pairs.csv.gz,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,-0.21137541071402682,-0.19239408496353694,-0.27600921657560745,-0.25470383372386773,0.8094701260755154,-0.6026671868071769,0.3325743967935574,0.0174078104764066,2.7289611697494016,0.936399767627705,160.12436026433755,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.021305382851739718,-160314.85222668166,-12807.211221395573,5438.569191123575,0.0,11969.241285283022,146914587.13007206,2.7269314160735254,2.1642673353042334,-0.19052987392448462,-0.17501830845761243,0.5343427732797436
F1,2009,canonical,complete,fold-2009/F1-canonical.json.gz,fold-2009/F1-canonical-pairs.csv.gz,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,-0.013930352451485023,0.018165603111292068,-0.02106031615724786,0.02814541460420227,0.9861662259311431,-0.126615685973955,0.14092124536331985,0.031523250628795234,3.19914255181342,1.2631579135593616,216.00000321865082,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.04920573076145013,25997.896075422832,-8308.419515483769,16544.54327929846,0.0,14978.707349496775,217148898.47341022,3.200000047683716,0.0,-0.013833774068856886,0.018331601308506525,0.16761682667585207
F1,2009,ridge,complete,fold-2009/F1-ridge.json.gz,fold-2009/F1-ridge-pairs.csv.gz,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,-0.015407582265124647,0.06397803544119893,-0.023267459646329796,0.10269471115813554,0.984710507261225,-0.17778445258876713,0.1035236743177359,0.08256192545572849,3.2000677533544457,5.09941528066557,872.0000129938126,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.12596217080446534,67267.13047408518,5.302242867551996,66647.16933065835,0.0,15914.75612507017,907824829.5906996,3.200000047683716,0.0,-0.015289492738775001,0.06606898276948718,0.1320333791232053
F1,2009,ppo_ens3,complete,fold-2009/F1-ppo_ens3.json.gz,fold-2009/F1-ppo_ens3-pairs.csv.gz,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,-0.21731408162098387,-0.19239408496353713,-0.282549099550611,-0.25470383372386796,0.8046771952933764,-0.6195221677868786,0.33380759994073794,0.022787989221629442,2.7290526688942998,0.936399767627705,160.12436026433755,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.02784526582674307,-159752.08661956032,-12782.728865433555,10846.078352025275,0.0,11941.910869604171,146496654.1070421,2.7269314160735254,2.1642673353042334,-0.19532280470662355,-0.1750183084576126,0.5344093400390867
F2,2009,canonical,complete,fold-2009/F2-canonical.json.gz,fold-2009/F2-canonical-pairs.csv.gz,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,-0.020831304402084114,0.018165603111294903,-0.031328505277658444,0.028145414604206723,0.9793841684323683,-0.18935430704893277,0.14504967444665007,0.03809922450977868,3.1992714261012276,1.2631579135593616,216.00000321865082,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.059473919881865164,25770.66332688892,-8287.270384742225,8243.718056914386,0.0,29855.50645286431,216402603.86733726,3.200000047683716,0.0,-0.020615831567631693,0.018331601308509412,0.16760396908849962
F2,2009,ridge,complete,fold-2009/F2-ridge.json.gz,fold-2009/F2-ridge-pairs.csv.gz,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,0.001346110124481964,0.06397803544119514,0.0020589410738428788,0.10269471115812917,1.0013470165373803,0.015536818425940084,0.09681721876441485,0.06567442908366303,3.199754390753473,5.09941528066557,872.0000129938126,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.10063577008428629,67012.11974773115,9.325873312621212,33592.307782142234,0.0,32082.12130152078,915119107.8733616,3.200000047683716,0.0,0.001347016537380341,0.06606898276948314,0.1319962284901682
F2,2009,ppo_ens3,complete,fold-2009/F2-ppo_ens3.json.gz,fold-2009/F2-ppo_ens3-pairs.csv.gz,2009-05-05T23:00:00+00:00,2010-01-01T00:00:00+00:00,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,2009-12-31T00:00:00+00:00,0.0,86400.0,20653200.0,171,-0.22442098084879838,-0.19239408496353663,-0.2902978745969848,-0.2547038337238674,0.7989787088249657,-0.639847834998557,0.3361264018507736,0.029185799090762132,2.7292037792816832,0.936399767627705,160.12436026433755,False,2009-05-05T23:00:00+00:00,2009-12-31T00:00:00+00:00,0.035594040873117405,-159096.54058090888,-12738.95150336324,5397.356332546848,0.0,23788.44275821526,145805050.74603748,2.7269314160735254,2.1642673353042334,-0.2010212911750343,-0.17501830845761218,0.5343548718051923
F0,2010,canonical,complete,fold-2010/F0-canonical.json.gz,fold-2010/F0-canonical-pairs.csv.gz,2010-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260,0.028485418730877447,0.063641490927241,0.028995660392063295,0.06594319891406393,1.028895008130132,0.16754888617352526,0.12285464556047287,0.03697957845852143,3.2013312310630635,1.2123077103724846,315.200004696846,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.03694753852200064,72898.91905884001,-7024.332470185384,12492.529344148586,0.0,24487.04911437285,339844489.8574817,3.200000047683716,0.0,0.028895008130132016,0.06571026346772771,0.17026803021276232
