scenario,fold,policy,status,error,result_path,pairs_path,coverage.measurement_start,coverage.measurement_end,coverage.first_decision,coverage.last_mark,coverage.planned_last_mark,coverage.initial_flat_seconds,coverage.trailing_coverage_gap_seconds,coverage.elapsed_seconds,metrics.steps,metrics.cumulative_log_return,metrics.gross_cumulative_log_return,metrics.annualized_net_return,metrics.annualized_gross_return,metrics.final_equity_ratio,metrics.sharpe_annualized,metrics.max_drawdown,metrics.total_cost_ratio,metrics.mean_gross_leverage,metrics.mean_weight_turnover,metrics.total_weight_turnover,metrics.terminated_by_margin_call,metrics.eval_start,metrics.eval_end,metrics.annualized_gross_minus_net,metrics.total_price_pnl_jpy,metrics.total_financing_jpy,metrics.total_spread_jpy,metrics.total_commission_jpy,metrics.total_overnight_jpy,metrics.total_actual_traded_notional_jpy,metrics.mean_target_gross_exposure,metrics.mean_target_net_exposure
F0,2009,canonical,blocked_input,"ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0,2009,ridge,blocked_input,"ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0,2009,ppo_ens3,blocked_input,"ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,2009,canonical,blocked_input,"ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,2009,ridge,blocked_input,"ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,2009,ppo_ens3,blocked_input,"ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,2009,canonical,blocked_input,"ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,2009,ridge,blocked_input,"ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2,2009,ppo_ens3,blocked_input,"ValueError: Missing expected bar for pairs ('JPY/USD', 'JPY/EUR', 'JPY/GBP', 'JPY/AUD', 'JPY/CHF', 'JPY/CAD', 'JPY/NZD', 'JPY/NOK', 'JPY/SEK') at 2008-12-29 00:00:00+00:00: /home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0,2010,canonical,complete,,fold-2010/F0-canonical.json.gz,fold-2010/F0-canonical-pairs.csv.gz,2010-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,0.028485418730877447,0.063641490927241,0.028995660392063295,0.06594319891406393,1.028895008130132,0.16754888617352526,0.12285464556047287,0.03697957845852143,3.2013312310630635,1.2123077103724846,315.200004696846,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.03694753852200064,72898.91905884001,-7024.332470185384,12492.529344148586,0.0,24487.04911437285,339844489.8574817,3.200000047683716,0.0
F0,2010,ridge,complete,,fold-2010/F0-ridge.json.gz,fold-2010/F0-ridge-pairs.csv.gz,2010-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,0.01457837837342641,0.08693039360280193,0.014735960776270035,0.09114643452397084,1.0146851612072636,0.10284824263501309,0.12173464800344069,0.07231980708864061,3.2009416813562552,5.083076998820672,1321.6000196933746,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0764104737477008,93761.11509339808,-6756.146797494108,49046.59478100537,0.0,23273.212307635236,1322757927.1978421,3.200000047683716,0.0
F0,2010,ppo_ens3,complete,,fold-2010/F0-ppo_ens3.json.gz,fold-2010/F0-ppo_ens3-pairs.csv.gz,2010-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,0.12920563874006918,0.15203173000461984,0.1384291111147184,0.16480514671423074,1.1379241013860213,0.40815482519876933,0.22485782563344103,0.024762575353462424,1.9063382131026816,0.9120802215126996,237.14085759330192,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.02637603559951235,158715.0166656371,3971.660073845427,9666.78094545081,0.0,15095.794408011618,255922771.3120288,1.9065082225405883,-0.04576135042508703
F1,2010,canonical,complete,,fold-2010/F1-canonical.json.gz,fold-2010/F1-canonical-pairs.csv.gz,2010-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,0.016620242465816837,0.06364149092723766,0.016817160252543942,0.06594319891406036,1.016759127060651,0.09778393455369558,0.12706516593834227,0.049184855140688044,3.201477391486002,1.2123077103724846,315.200004696846,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.04912603866151642,72923.24984654032,-6979.267645200207,24839.294077811974,0.0,24345.561062876084,337870794.0100547,3.200000047683716,0.0
F1,2010,ridge,complete,,fold-2010/F1-ridge.json.gz,fold-2010/F1-ridge-pairs.csv.gz,2010-01-01T00:00:00+00:00,2011-01-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,-0.03449056843485082,0.08693039360280282,-0.03401696913954981,0.0911464345239718,0.966097451454577,-0.24319269911727484,0.13468783649923777,0.11842403167635338,3.201545879425977,5.083076998820672,1321.6000196933746,False,2010-01-01T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.1251634036635216,91119.57057068631,-6598.087439757291,95709.36460008513,0.0,22714.66707626827,1290664403.3746235,3.200000047683716,0.0
