configuration,result_kind,fold,unit_key,member_seeds,experiment,run_dir,eval_start,eval_end,annualized_net_return,annualized_gross_return,sharpe_annualized,max_drawdown
direct_longf_ens3,ensemble,2009,ensemble,"[42, 43, 44]",wf2009_r16_longf_ens3,/home/tsuyoshi/workspace/projects/forex-trainer/runs/issue5_current_ensembles/wf2009_r16_longf_ens3/20260831-123400-013031,2009-04-03T00:00:00+01:00,2010-01-01T00:00:00+00:00,-0.23199223685295273,-0.20968935079039716,-0.4997366472556021,0.3325743923328528
direct_longf_ens3,ensemble,2010,ensemble,"[42, 43, 44]",wf2010_r16_longf_ens3,/home/tsuyoshi/workspace/projects/forex-trainer/runs/issue5_current_ensembles/wf2010_r16_longf_ens3/20260831-123402-091220,2010-03-31T00:00:00+01:00,2010-12-31T00:00:00+00:00,0.13769744158011207,0.16299453714879142,0.4127922637041729,0.2158002782631231
direct_longf_ens3,ensemble,2011,ensemble,"[42, 43, 44]",wf2011_r16_longf_ens3,/home/tsuyoshi/workspace/projects/forex-trainer/runs/issue5_current_ensembles/wf2011_r16_longf_ens3/20260831-123404-197724,2011-03-31T00:00:00+01:00,2011-12-30T00:00:00+00:00,0.42200668948742576,0.4510083504385349,1.7851837389084693,0.0927342947593528
direct_longf_ens3,ensemble,2012,ensemble,"[42, 43, 44]",wf2012_r16_longf_ens3,/home/tsuyoshi/workspace/projects/forex-trainer/runs/issue5_current_ensembles/wf2012_r16_longf_ens3/20260831-123406-287379,2012-03-29T00:00:00+01:00,2013-01-01T00:00:00+00:00,0.4422795185901192,0.4869790809226216,1.2528188307181762,0.1556201963131758
direct_longf_ens3,ensemble,2013,ensemble,"[42, 43, 44]",wf2013_r16_longf_ens3,/home/tsuyoshi/workspace/projects/forex-trainer/runs/issue5_current_ensembles/wf2013_r16_longf_ens3/20260831-123408-374032,2013-04-01T00:00:00+01:00,2014-01-01T00:00:00+00:00,0.8860130048605047,0.9470929500000353,1.9262270464683644,0.16753637313331216
direct_longf_ens3,ensemble,2014,ensemble,"[42, 43, 44]",wf2014_r16_longf_ens3,/home/tsuyoshi/workspace/projects/forex-trainer/runs/issue5_current_ensembles/wf2014_r16_longf_ens3/20260831-123410-460502,2014-03-31T00:00:00+01:00,2015-01-01T00:00:00+00:00,-0.04375483571666398,-0.013075353377718951,-0.24576148161859135,0.17017008474293982
direct_longf_ens3,ensemble,2015,ensemble,"[42, 43, 44]",wf2015_r16_longf_ens3,/home/tsuyoshi/workspace/projects/forex-trainer/runs/issue5_current_ensembles/wf2015_r16_longf_ens3/20260831-123412-559084,2015-03-31T00:00:00+01:00,2016-01-01T00:00:00+00:00,-0.36572754195237245,-0.3453276877600568,-1.4400683383030133,0.3695491764122204
direct_longf_ens3,ensemble,2016,ensemble,"[42, 43, 44]",wf2016_r16_longf_ens3,/home/tsuyoshi/workspace/projects/forex-trainer/runs/issue5_current_ensembles/wf2016_r16_longf_ens3/20260831-123414-666659,2016-03-30T00:00:00+01:00,2016-12-30T00:00:00+00:00,0.0019153267994546236,0.020116335106939703,0.010625738533305526,0.14248232742314304
direct_longf_ens3,ensemble,2017,ensemble,"[42, 43, 44]",wf2017_r16_longf_ens3,/home/tsuyoshi/workspace/projects/forex-trainer/runs/issue5_current_ensembles/wf2017_r16_longf_ens3/20260831-123416-745661,2017-03-30T00:00:00+01:00,2018-01-01T00:00:00+00:00,-0.040841544544530026,-0.019715797318917674,-0.4121186045764965,0.1397672195245614
direct_longf_ens3,ensemble,2018,ensemble,"[42, 43, 44]",wf2018_r16_longf_ens3,/home/tsuyoshi/workspace/projects/forex-trainer/runs/issue5_current_ensembles/wf2018_r16_longf_ens3/20260831-123418-859230,2018-03-29T00:00:00+01:00,2019-01-01T00:00:00+00:00,0.5162473616067673,0.5623785988814476,2.1412933589049237,0.08971999884637483
