policy,candidate,fold,era,first_timestamp,bucket_index,observation_count,minimum_candidate_value,maximum_candidate_value,mean_next_net_return,mean_next_gross_return,mean_next_cost_ratio,mean_forward_max_drawdown
agent,realized_market_volatility,2009,2009-2018,2009-04-03T00:00:00+01:00,0,59,0.006496760828182863,0.010179404572722405,0.0005377559268740269,0.0006335840083584341,9.587790730372113e-05,0.06650357004258686
agent,realized_market_volatility,2009,2009-2018,2009-04-03T00:00:00+01:00,1,59,0.01018160408297832,0.01191076014803649,-0.0021280249253294464,-0.002016005250899546,0.00011179359253830159,0.09945714159423999
agent,realized_market_volatility,2009,2009-2018,2009-04-03T00:00:00+01:00,2,58,0.011920751687907504,0.014250924511547258,-0.0007085676127591918,-0.0005844625875675152,0.00012393324032658942,0.1161116007912695
agent,realized_market_volatility,2010,2009-2018,2010-03-31T00:00:00+01:00,0,60,0.003956388348836215,0.007507782950933347,0.001002667223445146,0.001083961379686846,8.140482402786524e-05,0.02661744547455057
agent,realized_market_volatility,2010,2009-2018,2010-03-31T00:00:00+01:00,1,59,0.007508376762888985,0.009376040008881608,0.0006848216708474294,0.0007710260376337179,8.626547963492989e-05,0.03171085702264335
agent,realized_market_volatility,2010,2009-2018,2010-03-31T00:00:00+01:00,2,59,0.00938633510984639,0.016559561714354652,-3.797154157921879e-05,5.253211493489618e-05,9.048037833734745e-05,0.051071489265510556
agent,realized_market_volatility,2011,2009-2018,2011-03-31T00:00:00+01:00,0,59,0.005656486149899069,0.007016863316049727,-0.0005263441652025791,-0.0004568732541458752,6.940020467441321e-05,0.022748642114005107
agent,realized_market_volatility,2011,2009-2018,2011-03-31T00:00:00+01:00,1,59,0.007021702483301394,0.008630632906364122,0.0017132547926497399,0.0017944975797830201,8.132527646719114e-05,0.028216336444298294
agent,realized_market_volatility,2011,2009-2018,2011-03-31T00:00:00+01:00,2,58,0.00864243905265119,0.01127375053014757,0.002731758712284049,0.002814111918868514,8.279216987769335e-05,0.02254307844188614
agent,realized_market_volatility,2012,2009-2018,2012-03-29T00:00:00+01:00,0,60,0.00354625500988168,0.005570504049901502,0.002414492139706612,0.0025160231498820825,0.00010173181910727604,0.00861748841217145
agent,realized_market_volatility,2012,2009-2018,2012-03-29T00:00:00+01:00,1,59,0.0056082127599079564,0.00767192297986662,0.0014627458970160013,0.0015797816467391693,0.00011715542618162542,0.04538744242845574
agent,realized_market_volatility,2012,2009-2018,2012-03-29T00:00:00+01:00,2,59,0.007672357377243107,0.009169743232894437,0.0013724211710306594,0.0015020800585465576,0.00012993657946559601,0.02893295739899944
agent,realized_market_volatility,2013,2009-2018,2013-04-01T00:00:00+01:00,0,59,0.004155206697850036,0.005890713482100836,0.0010059125562223267,0.0011413415739056744,0.0001355829564200186,0.03380097245110784
agent,realized_market_volatility,2013,2009-2018,2013-04-01T00:00:00+01:00,1,59,0.005940342546695576,0.007881277327599504,-7.98825668930209e-05,4.366907710517927e-05,0.00012372588621507763,0.0443900733563041
agent,realized_market_volatility,2013,2009-2018,2013-04-01T00:00:00+01:00,2,59,0.007884064881962657,0.012459210734386477,0.005494864693518626,0.005601523827844956,0.00010775337727977674,0.013679569728173437
agent,realized_market_volatility,2014,2009-2018,2014-03-31T00:00:00+01:00,0,60,0.001686730526278396,0.002238186800662908,0.0007363595272283918,0.0008454997449930403,0.00010924450418024057,0.016250446948308486
agent,realized_market_volatility,2014,2009-2018,2014-03-31T00:00:00+01:00,1,60,0.00224146137007667,0.004132616177278657,-0.0003665104057266403,-0.0002401165065507391,0.00012624107675701088,0.0356679562248629
agent,realized_market_volatility,2014,2009-2018,2014-03-31T00:00:00+01:00,2,59,0.004176154638897529,0.007041417020443608,8.509110306004126e-05,0.0002146077782999311,0.00012945535707379547,0.0345536535275614
agent,realized_market_volatility,2015,2009-2018,2015-03-31T00:00:00+01:00,0,60,0.0028542839347436657,0.003731946426023757,0.00031342355137854293,0.000433791831855389,0.0001202446447515539,0.06127675892303711
agent,realized_market_volatility,2015,2009-2018,2015-03-31T00:00:00+01:00,1,60,0.0037563719895461266,0.005532053377973242,-0.004505297447595968,-0.004384547563818716,0.00011966409529333377,0.07140716880706952
agent,realized_market_volatility,2015,2009-2018,2015-03-31T00:00:00+01:00,2,59,0.005541350187380943,0.007469191271607056,0.00016712378349989184,0.00028608500216243136,0.00011886689589914244,0.06785386915845867
agent,realized_market_volatility,2016,2009-2018,2016-03-30T00:00:00+01:00,0,60,0.003928392003454985,0.005073831428404696,0.0017724792055410098,0.001844730194097123,7.239286070765202e-05,0.010084815052301436
agent,realized_market_volatility,2016,2009-2018,2016-03-30T00:00:00+01:00,1,59,0.0050941354299158656,0.008861614057273197,-0.0014498867018416556,-0.0013855989227792975,6.419115809700719e-05,0.04307368385074651
agent,realized_market_volatility,2016,2009-2018,2016-03-30T00:00:00+01:00,2,59,0.00898590994952886,0.013717638756875167,-0.00035049675321706706,-0.00027718311979440147,7.318849348530667e-05,0.03622660261971016
agent,realized_market_volatility,2017,2009-2018,2017-03-30T00:00:00+01:00,0,59,0.003197365816040022,0.0042051684528466495,-0.00023422469040243883,-0.00014067570774354562,9.355151516988486e-05,0.022245630541346584
agent,realized_market_volatility,2017,2009-2018,2017-03-30T00:00:00+01:00,1,59,0.00421065790946588,0.004867278066417882,-0.0004340663948150107,-0.00035830530394417024,7.569696936831912e-05,0.018513520654036053
agent,realized_market_volatility,2017,2009-2018,2017-03-30T00:00:00+01:00,2,58,0.004917340107028429,0.00585231939218697,-0.0003083895361967754,-0.00022156913429889616,8.677138461789748e-05,0.020096332074397472
agent,realized_market_volatility,2018,2009-2018,2018-03-29T00:00:00+01:00,0,60,0.002915511766540914,0.004548720317890226,0.0019460152240237635,0.0020632306861948745,0.00011758413446849477,0.030356468064431878
agent,realized_market_volatility,2018,2009-2018,2018-03-29T00:00:00+01:00,1,60,0.00455746940137441,0.00497160521004199,0.001954113425430607,0.0020671856384196375,0.00011329586166257928,0.013768901601764468
agent,realized_market_volatility,2018,2009-2018,2018-03-29T00:00:00+01:00,2,59,0.004978895016085965,0.005812172570003842,0.0010112710197829912,0.0011282857473052744,0.00011730587342116161,0.01992253524684656
agent,realized_market_volatility,2019,2019-2025,2019-03-29T00:00:00+00:00,0,60,0.0026789660395625478,0.0033663574408450575,-0.0010506058671013966,-0.0009822323065740385,6.832672829140591e-05,0.0443069798143501
agent,realized_market_volatility,2019,2019-2025,2019-03-29T00:00:00+00:00,1,59,0.0033669557016865206,0.004028532842638582,2.3821480721802113e-06,7.491440010084889e-05,7.248417746314689e-05,0.010205932988069249
agent,realized_market_volatility,2019,2019-2025,2019-03-29T00:00:00+00:00,2,59,0.004034947158410472,0.006402239902777598,-0.0007395300895171164,-0.0006774006392026866,6.209647702171569e-05,0.014702800305422726
agent,realized_market_volatility,2020,2019-2025,2020-03-30T00:00:00+01:00,0,60,0.0031363840388832012,0.0046234327489853705,-0.001478083122450172,-0.001387259200271343,9.07084074388551e-05,0.04458116150055314
agent,realized_market_volatility,2020,2019-2025,2020-03-30T00:00:00+01:00,1,60,0.004623981318599298,0.006086553524467014,-0.002000005322419685,-0.0019113842207973608,8.843447745583095e-05,0.029200825946709107
agent,realized_market_volatility,2020,2019-2025,2020-03-30T00:00:00+01:00,2,60,0.006310879064607762,0.010743963606083654,0.0010256710486628731,0.0011016135882660394,7.608697031116176e-05,0.02404037107563186
agent,realized_market_volatility,2021,2019-2025,2021-03-31T00:00:00+01:00,0,60,0.0024477885216367553,0.003826689851665985,-0.0007258890406376073,-0.0006411232981039137,8.46918126212329e-05,0.029490470242897162
agent,realized_market_volatility,2021,2019-2025,2021-03-31T00:00:00+01:00,1,59,0.0038273111141985993,0.004280753510903467,-0.0009024730314084726,-0.0008092210244008373,9.3154190895064e-05,0.03076309246309257
agent,realized_market_volatility,2021,2019-2025,2021-03-31T00:00:00+01:00,2,59,0.004288032695750378,0.005048558070038462,0.0008994097480868755,0.0009855812960745823,8.627759032593242e-05,0.007357929978654724
agent,realized_market_volatility,2022,2019-2025,2022-03-31T00:00:00+01:00,0,59,0.004808440516289009,0.00601457829802052,0.002717764275105683,0.0028061897529818984,8.861105048037526e-05,0.023915931132203746
agent,realized_market_volatility,2022,2019-2025,2022-03-31T00:00:00+01:00,1,59,0.006014953197817504,0.007163985931817227,-0.00047733926728382926,-0.000391186208581231,8.599918708497115e-05,0.035716732051992765
agent,realized_market_volatility,2022,2019-2025,2022-03-31T00:00:00+01:00,2,59,0.007205677574660249,0.008989419077273608,-0.0010742855819699693,-0.0009640667469998619,0.00010992446575869813,0.06911438674241588
agent,realized_market_volatility,2023,2019-2025,2023-03-30T00:00:00+01:00,0,60,0.0032675698066190113,0.004640872580537529,0.0002382078679980769,0.0003011283996226476,6.293513284968063e-05,0.006307419197297455
agent,realized_market_volatility,2023,2019-2025,2023-03-30T00:00:00+01:00,1,59,0.004679452868986852,0.005964560960832132,-0.0006119929137832496,-0.0005491052379729476,6.288136114967256e-05,0.014034390846419881
agent,realized_market_volatility,2023,2019-2025,2023-03-30T00:00:00+01:00,2,59,0.005968492189409505,0.006797480737313316,-0.00016569555934049907,-9.833949291532657e-05,6.738590088382261e-05,0.02619482138955246
agent,realized_market_volatility,2024,2019-2025,2024-03-28T00:00:00+00:00,0,60,0.002871436763467021,0.004955875151972427,0.0006896321304729842,0.0007711204034647538,8.159720441632071e-05,0.026131006551517344
agent,realized_market_volatility,2024,2019-2025,2024-03-28T00:00:00+00:00,1,60,0.004970223474932066,0.005927838651193171,0.00015541249227694028,0.00025045223230994745,9.514996591463966e-05,0.02220501486323461
agent,realized_market_volatility,2024,2019-2025,2024-03-28T00:00:00+00:00,2,59,0.005955193323086478,0.007843871926996964,0.0012019993874188752,0.0012844191514066706,8.25336410320228e-05,0.021107541211986314
agent,realized_market_volatility,2025,2019-2025,2025-04-01T00:00:00+01:00,0,58,0.002425458799927306,0.004111890580676878,0.0007447418401876126,0.0008239566840643339,7.939254450587702e-05,0.014468202945159072
agent,realized_market_volatility,2025,2019-2025,2025-04-01T00:00:00+01:00,1,58,0.004116246242207207,0.0048030667900995205,0.000584290345531555,0.0006669315948691953,8.272939552488112e-05,0.012324301569181628
agent,realized_market_volatility,2025,2019-2025,2025-04-01T00:00:00+01:00,2,58,0.004830465467224414,0.008332341719607677,0.0015697685716715836,0.0016444497762805766,7.475408847376419e-05,0.009154672744385672
agent,mean_cross_pair_correlation,2009,2009-2018,2009-04-03T00:00:00+01:00,0,59,0.6703264397074106,0.7714496088688818,0.0024758598081737184,0.002574007619366398,9.832144699563542e-05,0.10538778299689047
agent,mean_cross_pair_correlation,2009,2009-2018,2009-04-03T00:00:00+01:00,1,59,0.772103640866197,0.8129851149955847,-0.0035065298532370396,-0.0034044651112095834,0.00010187470568237046,0.08705521083556172
agent,mean_cross_pair_correlation,2009,2009-2018,2009-04-03T00:00:00+01:00,2,58,0.8133373301162957,0.895035405195292,-0.0012778148239683935,-0.0011459429546567862,0.0001315374727865376,0.08917272752330577
agent,mean_cross_pair_correlation,2010,2009-2018,2010-03-31T00:00:00+01:00,0,60,0.3417056699543863,0.7167281795803039,-0.00012090305108127256,-3.369515810779248e-05,8.715782704777576e-05,0.01895063021773386
agent,mean_cross_pair_correlation,2010,2009-2018,2010-03-31T00:00:00+01:00,1,59,0.716965174889917,0.7815224306321011,0.0007174385204532503,0.0007985458673568711,8.126528948900926e-05,0.02743463396762643
agent,mean_cross_pair_correlation,2010,2009-2018,2010-03-31T00:00:00+01:00,2,59,0.7817285700069819,0.9040402166317825,0.0010720254473164032,0.0011616121541554436,8.963005693759638e-05,0.06314447359864615
agent,mean_cross_pair_correlation,2011,2009-2018,2011-03-31T00:00:00+01:00,0,59,0.39741482321460614,0.5758644300937289,-0.0007310024250719394,-0.0006631061209815964,6.788384529464293e-05,0.03249140502448916
agent,mean_cross_pair_correlation,2011,2009-2018,2011-03-31T00:00:00+01:00,1,59,0.5870090107946228,0.7459613821348128,0.0023382521107143126,0.0024163997404624098,7.828956378710809e-05,0.02167884492690096
agent,mean_cross_pair_correlation,2011,2009-2018,2011-03-31T00:00:00+01:00,2,58,0.7465102730501135,0.8617033566852105,0.002304172428947539,0.0023912759130620236,8.742272593857865e-05,0.01928254374891861
agent,mean_cross_pair_correlation,2012,2009-2018,2012-03-29T00:00:00+01:00,0,60,0.5095846760096392,0.7361382467332154,0.001517398683460019,0.0016163224109392248,9.900421459670015e-05,0.006351226629168512
agent,mean_cross_pair_correlation,2012,2009-2018,2012-03-29T00:00:00+01:00,1,59,0.7433958538433337,0.8307079023861026,-3.0433426080012047e-05,9.473303556994432e-05,0.00012497514662558907,0.05567677863701587
