fold,condition,train_start,train_end,data_path,data_sha256,symbols,bars,years,usable_transitions,candidate_episode_starts,requested_steps,actual_steps,rollouts,episode_equivalents,optimizer_minibatch_steps,sample_presentations,transition_reuse,candidate_start_reuse,ess_max_lag,return_ess_min,return_ess_median,return_ess_max,absolute_return_ess_median,squared_return_ess_median,mom24_ess_median,xr_mom24_ess_median,carry_available,carry_update_events,carry_updated_values,effective_rank,effective_independent_samples
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2009_r16_longf.yaml,expanding,2003-06-01,2008-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,760,2.948665297741273,696,569,300000,303104,37,2368.0,2960,3031040,435.4942528735632,4.161687170474517,252,738.0976517357559,759.0,759.0,39.19952134255696,103.40833417465997,41.15894305834801,40.277311322076415,True,44,313,1.8379135769243011,1394.9764048855445
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2010_r16_longf.yaml,expanding,2003-06-01,2009-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,998,3.9507186858316223,934,807,300000,303104,37,2368.0,2960,3031040,324.52248394004283,2.9343246592317223,252,997.0,997.0,997.0,20.179016673857372,48.05418083832421,24.080281422405726,53.45680544211724,True,62,425,1.5887833750324232,1584.017024907326
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2011_r16_longf.yaml,expanding,2003-06-01,2010-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,1259,4.950034223134839,1195,1068,300000,303104,37,2368.0,2960,3031040,253.64351464435146,2.2172284644194757,252,1258.0,1258.0,1258.0,28.557114603938057,67.32839163893891,34.54493396513867,65.67074903668775,True,74,531,1.5562635255623587,1957.7795151574473
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2012_r16_longf.yaml,expanding,2003-06-01,2011-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,1519,5.949349760438056,1455,1328,300000,303104,37,2368.0,2960,3031040,208.3189003436426,1.783132530120482,252,1518.0,1518.0,1518.0,37.090593648885864,83.39654181672746,43.357361274483665,78.72967546692955,True,87,630,1.587823318501312,2410.3157974849914
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2013_r16_longf.yaml,expanding,2003-06-01,2012-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,1779,6.945927446954141,1715,1588,300000,303104,37,2368.0,2960,3031040,176.73702623906706,1.491183879093199,252,1778.0,1778.0,1778.0,43.75186148401536,90.03346219800098,53.9861916843247,95.84805172556756,True,101,720,1.6326223699321787,2902.8025737394137
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2014_r16_longf.yaml,expanding,2003-06-01,2013-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,2038,7.950718685831622,1974,1847,300000,303104,37,2368.0,2960,3031040,153.54812563323202,1.282079047103411,252,2037.0,2037.0,2037.0,53.300739378082504,98.08018483469779,59.006878755773094,103.74346901820499,True,115,832,1.6151346467204264,3290.0292753695085
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2015_r16_longf.yaml,expanding,2003-06-01,2014-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,2298,8.950034223134839,2234,2107,300000,303104,37,2368.0,2960,3031040,135.67770814682186,1.123872804935928,252,2297.0,2297.0,2297.0,58.185701162472,98.95462517857132,66.63919752840526,117.02239151527017,True,127,927,1.6330704125018563,3751.1627375167636
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2016_r16_longf.yaml,expanding,2003-06-01,2015-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,2559,9.949349760438055,2495,2368,300000,303104,37,2368.0,2960,3031040,121.48456913827656,1.0,252,2558.0,2558.0,2558.0,60.08160795115697,101.17541445239426,79.3112406360541,128.6955751411045,True,141,1028,1.7103359493480408,4375.039358432288
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2017_r16_longf.yaml,expanding,2003-06-01,2016-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,2821,10.951403148528405,2757,2630,300000,303104,37,2368.0,2960,3031040,109.93978962640551,0.9003802281368821,252,2820.0,2820.0,2820.0,68.94940495956082,116.21511793036916,88.27213014092985,139.71086820473127,True,155,1121,1.72635139751925,4868.310941004284
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2018_r16_longf.yaml,expanding,2003-06-01,2017-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,3081,11.94798083504449,3017,2890,300000,303104,37,2368.0,2960,3031040,100.46536294332118,0.8193771626297578,252,3080.0,3080.0,3080.0,77.54837782191107,123.26281691429817,98.06822398439152,153.88383367355948,True,167,1213,1.7353050057225998,5344.7394176256075
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2019_r16_longf.yaml,2y,2016-07-01,2018-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,519,1.9931553730321698,455,328,300000,303104,37,2368.0,2960,3031040,666.1626373626374,7.219512195121951,252,395.33862046752114,518.0,518.0,229.71129780935686,221.33686345737632,21.51376764219528,25.579197332138673,True,23,182,1.9518169013730977,1011.0411549112646
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2019_r16_longf.yaml,4y,2014-07-01,2018-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,1042,3.994524298425736,978,851,300000,303104,37,2368.0,2960,3031040,309.92229038854805,2.782608695652174,252,768.0374376755618,1041.0,1041.0,111.74485451792088,369.0903965740026,46.109752595855795,47.444080729158955,True,51,376,2.2815145765340206,2375.0566741719153
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2019_r16_longf.yaml,8y,2010-07-01,2018-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,2081,7.994524298425736,2017,1890,300000,303104,37,2368.0,2960,3031040,150.27466534457113,1.252910052910053,252,2007.7612781148712,2080.0,2080.0,177.90061112677685,312.0686262991457,88.96534495661841,96.63906861774146,True,104,772,1.9949087810425816,4149.41026456857
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2019_r16_longf.yaml,expanding,2003-06-01,2018-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,3339,12.944558521560575,3275,3148,300000,303104,37,2368.0,2960,3031040,92.55083969465649,0.7522236340533672,252,3338.0,3338.0,3338.0,78.01179248447902,125.63687687173267,105.07495501135321,165.2357405391883,True,178,1303,1.74675260108084,5830.660182407844
